;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;encoded_label
index__org:group_1_B;-0.032;-0.052;-0.044;0.044;-0.034;-0.022;0.09;0.019;0.009;-0.042;-0.032;0.064;-0.181;0.006;0.363;-0.079;-0.149;0.363;-0.062;-0.141;0.363;-0.069;-0.171;0.363;-0.056;-0.161;0.363;-0.338;0.338;-0.343;0.343;-0.277;-0.043;0.363;-0.051;-0.116;0.363;-0.041;-0.126;0.363;-0.082;-0.13;0.363;-0.276;0.024;0.363;-0.249;-0.017;0.363;-0.321;0.006;0.363;-0.069;-0.171;0.363;-0.071;-0.148;0.363;-0.3;-0.008;0.363;-0.064;-0.149;0.363;-0.253;-0.031;0.363;-0.091;-0.083;0.363;-0.033;-0.177;0.363;-0.066;-0.176;0.363;0.571;-0.363;-0.021;0.057;-0.032;-0.018;0.79;-0.046;-0.024;-0.66;-0.009;-0.043;0.141;0.571;-0.088;0.571;-0.458;-0.063;-0.013;-0.024;0.748;0.283;-0.283;0.094;-0.055;0.59;-0.048;-0.124;-0.081;0.561;-0.026;-0.094;0.482;0.678;-0.084;0.001;-0.246;-0.098;0.001;-0.016;0.341;0.141;0.152;0.11;-0.075;-0.251;-0.016;-0.371;0.51;0.057;0.051;-0.069;1.0;-0.66;-0.009;-0.261;0.369;-0.063;-0.022;-0.136;-0.07;0.59;-0.035;0.158;-0.479;0.678;-0.013;-0.009;0.09;-0.009;-0.009;-0.016;0.35;-0.372;0.141;-0.013;-0.016;-0.029;0.027;-0.013;-0.018;-0.009;0.286;-0.016;0.094;-0.016;-0.023;0.094;-0.013;-0.009;-0.013;0.048
index__org:group_1_C;0.053;-0.014;0.043;-0.013;-0.051;0.022;-0.03;-0.058;-0.009;0.063;0.018;-0.016;0.241;0.066;-0.629;0.122;0.272;-0.629;0.13;0.224;-0.629;0.118;0.298;-0.629;0.112;0.266;-0.629;0.587;-0.587;0.611;-0.611;0.499;0.041;-0.629;0.14;0.149;-0.629;0.118;0.173;-0.629;0.127;0.239;-0.629;0.469;-0.028;-0.629;0.444;0.014;-0.629;0.555;-0.005;-0.629;0.118;0.298;-0.629;0.133;0.249;-0.629;0.519;0.015;-0.629;0.111;0.257;-0.629;0.429;0.067;-0.629;0.146;0.155;-0.629;0.078;0.287;-0.629;0.115;0.305;-0.629;-0.4;0.629;-0.209;-0.187;-0.326;-0.187;-0.521;-0.464;-0.248;1.0;-0.093;-0.433;-0.093;-0.377;0.134;-0.377;0.649;-0.637;-0.132;-0.044;-0.493;-0.187;0.366;-0.132;-0.519;-0.433;-0.013;0.129;0.123;-0.348;0.04;-0.082;-0.304;-0.521;-0.081;-0.052;0.31;0.16;0.052;-0.177;-0.167;-0.093;-0.116;-0.042;-0.069;0.303;0.024;0.334;-0.444;-0.187;-0.011;-0.697;-0.66;1.0;-0.093;0.468;-0.178;-0.637;0.056;-0.157;0.296;-0.433;0.024;-0.237;0.459;-0.521;0.02;0.014;-0.044;0.014;0.014;0.024;-0.171;0.16;-0.093;0.02;0.024;0.044;0.002;0.02;0.028;0.014;-0.185;0.024;-0.056;0.024;0.034;-0.056;0.02;0.014;0.02;-0.071
index__org:group_1_L;-0.012;-0.017;-0.006;-0.011;-0.008;-0.009;-0.006;-0.004;-0.005;-0.006;-0.005;0.045;-0.05;0.057;-0.009;-0.014;0.017;-0.009;-0.017;0.02;-0.009;-0.012;0.016;-0.009;0.089;-0.073;-0.009;0.009;-0.009;0.009;-0.009;-0.12;0.215;-0.009;0.039;-0.035;-0.009;-0.031;0.034;-0.009;-0.016;0.019;-0.009;0.013;-0.009;-0.009;0.013;-0.009;-0.009;0.01;-0.005;-0.009;-0.012;0.016;-0.009;-0.015;0.018;-0.009;0.011;-0.006;-0.009;-0.015;0.019;-0.009;0.012;-0.008;-0.009;-0.026;0.029;-0.009;-0.015;0.019;-0.009;-0.012;0.015;-0.009;-0.006;0.009;-0.003;-0.003;-0.005;-0.003;-0.007;-0.006;0.376;-0.093;-0.001;-0.006;-0.001;-0.005;-0.012;-0.005;-0.065;0.146;-0.002;-0.003;-0.007;-0.003;-0.04;-0.002;-0.008;-0.006;0.193;-0.018;-0.011;-0.009;-0.004;0.085;-0.007;-0.007;-0.012;-0.005;-0.035;-0.016;-0.009;-0.014;-0.013;-0.001;-0.004;-0.006;-0.015;0.037;-0.002;-0.124;-0.006;-0.003;0.168;-0.01;-0.009;-0.093;1.0;-0.064;-0.015;0.146;-0.007;-0.021;-0.055;-0.006;0.265;-0.015;0.018;-0.007;-0.002;-0.001;-0.003;-0.001;-0.001;-0.002;-0.016;0.02;-0.001;-0.002;-0.002;-0.004;-0.004;-0.002;-0.003;-0.001;-0.003;-0.002;-0.002;-0.002;-0.003;-0.002;-0.002;-0.001;-0.002;-0.014
index__org:group_2_A;-0.021;0.052;0.024;-0.044;-0.035;0.011;-0.017;-0.042;0.003;-0.022;-0.051;0.034;0.109;-0.023;-0.18;0.046;0.068;-0.18;0.057;0.046;-0.18;0.051;0.07;-0.18;0.036;0.072;-0.18;0.168;-0.168;0.173;-0.173;0.148;0.002;-0.18;0.035;0.048;-0.18;0.014;0.069;-0.18;0.056;0.05;-0.18;0.16;-0.042;-0.18;0.121;0.012;-0.18;0.176;-0.037;-0.18;0.031;0.087;-0.18;0.034;0.074;-0.18;0.163;-0.022;-0.18;0.022;0.082;-0.18;0.119;0.025;-0.18;0.083;0.004;-0.18;-0.039;0.137;-0.18;0.035;0.086;-0.18;0.027;0.18;-0.105;-0.001;-0.223;-0.128;-0.357;-0.265;-0.074;0.468;0.02;-0.259;-0.064;0.061;-0.612;0.061;0.814;-0.436;0.029;0.054;-0.338;-0.128;0.492;-0.031;-0.351;0.02;0.072;0.151;-0.56;-0.364;0.028;0.005;-0.107;-0.294;-0.009;-0.003;0.428;-0.376;0.02;0.016;-0.653;-0.064;-0.009;-0.091;0.003;0.44;0.035;0.311;-0.03;-0.001;-0.381;-0.368;-0.261;0.468;-0.064;1.0;-0.735;-0.436;-0.35;0.071;-0.005;0.02;-0.241;-0.018;0.191;-0.294;-0.031;0.02;-0.17;0.02;0.02;0.035;-0.594;0.534;-0.064;0.029;0.035;-0.015;0.058;0.029;0.041;-0.064;-0.157;-0.111;0.029;0.035;0.016;0.029;-0.031;0.02;-0.031;-0.009
index__org:group_2_B;0.043;-0.048;-0.005;0.052;-0.029;-0.033;0.021;0.017;0.031;0.024;0.037;-0.023;-0.055;0.093;-0.069;0.0;0.041;-0.069;-0.002;0.039;-0.069;-0.008;0.05;-0.069;0.012;0.03;-0.069;0.062;-0.062;0.075;-0.075;0.059;-0.002;-0.069;0.066;-0.034;-0.069;0.063;-0.031;-0.069;-0.031;0.066;-0.069;0.016;0.045;-0.069;0.069;-0.025;-0.069;0.047;0.026;-0.069;0.005;0.04;-0.069;0.003;0.038;-0.069;0.044;0.024;-0.069;0.007;0.033;-0.069;0.032;0.03;-0.069;-0.056;0.087;-0.069;0.09;-0.04;-0.069;-0.002;0.046;-0.069;-0.04;0.069;-0.034;0.021;-0.052;-0.03;0.485;-0.075;-0.04;-0.178;-0.015;-0.07;0.087;-0.061;0.832;-0.061;-0.745;-0.102;-0.021;-0.04;0.46;0.174;-0.46;0.051;-0.089;-0.002;-0.078;-0.202;0.762;0.507;-0.006;-0.177;0.16;0.41;-0.137;-0.035;-0.385;0.524;-0.016;-0.159;0.888;0.087;0.012;0.137;-0.162;-0.408;-0.026;0.025;-0.049;0.021;-0.0;-0.112;0.369;-0.178;-0.015;-0.735;1.0;-0.102;-0.082;-0.234;0.239;-0.002;-0.057;-0.045;-0.156;0.41;0.051;-0.015;-0.001;-0.015;-0.015;-0.026;0.825;-0.742;0.087;-0.021;-0.026;0.05;-0.043;-0.021;-0.03;-0.015;0.172;-0.026;-0.021;-0.026;0.005;-0.021;0.051;-0.015;0.051;-0.039
index__org:group_2_C;-0.046;0.04;-0.009;-0.011;0.122;-0.019;-0.041;0.071;-0.032;-0.04;-0.031;-0.013;-0.128;-0.095;0.452;-0.076;-0.206;0.452;-0.1;-0.155;0.452;-0.083;-0.215;0.452;-0.084;-0.188;0.452;-0.422;0.422;-0.451;0.451;-0.372;-0.007;0.452;-0.127;-0.081;0.452;-0.119;-0.09;0.452;-0.077;-0.184;0.452;-0.343;0.029;0.452;-0.333;0.01;0.452;-0.4;0.008;0.452;-0.083;-0.215;0.452;-0.099;-0.175;0.452;-0.375;-0.005;0.452;-0.089;-0.176;0.452;-0.304;-0.055;0.452;-0.093;-0.122;0.452;-0.073;-0.191;0.452;-0.082;-0.22;0.452;-0.001;-0.452;0.259;-0.018;0.511;0.294;-0.05;0.632;0.212;-0.637;-0.009;0.611;-0.009;-0.036;-0.085;-0.036;-0.442;1.0;-0.013;-0.024;-0.047;-0.018;-0.194;-0.013;0.819;-0.041;-0.015;-0.063;-0.078;-0.062;-0.025;0.206;-0.047;-0.05;0.183;0.082;-0.159;-0.109;-0.064;0.191;-0.091;-0.009;0.017;-0.044;0.166;-0.141;-0.015;-0.053;0.126;-0.018;-0.026;0.892;-0.063;-0.637;0.146;-0.436;-0.102;1.0;-0.049;0.32;-0.291;-0.041;0.008;0.17;-0.112;-0.05;-0.013;-0.009;-0.024;-0.009;-0.009;-0.015;-0.092;0.123;-0.009;-0.013;-0.015;-0.028;-0.025;-0.013;-0.018;-0.009;-0.022;-0.015;-0.013;-0.015;-0.022;-0.013;-0.013;-0.009;-0.013;0.072
index__org:group_2_L;0.024;-0.077;-0.034;0.017;-0.015;0.06;0.051;-0.023;-0.026;0.053;0.085;-0.018;0.014;-0.005;-0.019;-0.012;0.022;-0.019;-0.003;0.013;-0.019;0.0;0.011;-0.019;-0.002;0.012;-0.019;0.023;-0.023;0.022;-0.022;0.01;0.009;-0.019;-0.046;0.055;-0.019;-0.003;0.011;-0.019;0.025;-0.012;-0.019;0.03;-0.023;-0.019;0.007;0.009;-0.019;0.004;0.024;-0.019;0.023;-0.007;-0.019;0.039;-0.023;-0.019;0.009;0.01;-0.019;0.048;-0.032;-0.019;0.045;-0.044;-0.019;0.032;-0.022;-0.019;0.011;0.001;-0.019;0.026;-0.01;-0.019;0.014;0.019;-0.016;-0.014;-0.025;-0.014;-0.04;-0.036;-0.019;0.056;-0.007;-0.033;-0.007;0.019;-0.068;0.019;0.094;-0.049;-0.01;-0.019;-0.038;-0.014;-0.013;-0.01;-0.043;0.009;0.001;0.112;-0.063;-0.049;-0.02;0.067;-0.001;-0.04;0.05;-0.029;-0.054;0.005;0.062;0.027;-0.073;-0.007;-0.024;0.004;0.091;-0.058;-0.012;-0.68;0.007;-0.014;0.887;-0.053;-0.022;0.056;-0.007;-0.35;-0.082;-0.049;1.0;-0.116;-0.079;0.009;0.637;-0.081;-0.002;-0.04;-0.01;-0.007;0.412;-0.007;-0.007;-0.012;-0.086;0.029;-0.007;-0.01;-0.012;-0.023;-0.02;-0.01;-0.014;0.182;0.06;0.316;-0.01;-0.012;-0.018;-0.01;-0.01;-0.007;-0.01;0.005
index__org:group_3_A;0.032;0.021;-0.046;-0.019;0.042;-0.018;-0.043;0.012;0.109;0.036;-0.025;-0.042;-0.056;-0.021;0.157;-0.174;0.055;0.157;-0.186;0.083;0.157;-0.188;0.057;0.157;-0.21;0.093;0.157;-0.134;0.134;-0.163;0.163;-0.106;-0.043;0.157;-0.167;0.095;0.157;-0.152;0.077;0.157;-0.173;0.066;0.157;-0.082;-0.039;0.157;-0.109;-0.005;0.157;-0.12;-0.035;0.157;-0.178;0.049;0.157;-0.217;0.099;0.157;-0.12;-0.02;0.157;-0.149;0.043;0.157;-0.118;-0.002;0.157;-0.133;0.055;0.157;-0.164;0.056;0.157;-0.183;0.051;0.157;-0.051;-0.157;0.064;0.041;0.216;0.124;-0.118;0.256;0.038;-0.157;0.062;0.214;0.062;-0.085;-0.202;-0.085;0.037;0.32;-0.03;0.07;-0.111;-0.001;-0.646;0.088;0.369;-0.098;0.288;0.743;-0.185;-0.146;-0.06;0.631;-0.111;-0.04;0.514;0.208;-0.561;-0.257;-0.151;0.566;-0.206;-0.021;-0.045;-0.105;0.594;-0.537;-0.037;0.081;0.007;0.041;-0.126;0.343;-0.136;-0.157;-0.021;0.071;-0.234;0.32;-0.116;1.0;-0.892;-0.098;-0.079;0.475;-0.367;-0.04;-0.03;-0.021;-0.056;-0.021;-0.021;-0.037;-0.237;0.309;-0.021;-0.03;-0.037;-0.067;-0.06;-0.03;-0.042;-0.021;-0.052;-0.037;-0.03;-0.037;-0.052;-0.03;-0.03;-0.021;-0.03;0.043
index__org:group_3_B;-0.025;0.021;0.061;0.027;-0.03;0.008;-0.012;-0.0;-0.091;-0.036;0.037;0.003;0.113;0.045;-0.323;0.194;0.027;-0.323;0.208;-0.013;-0.323;0.212;0.027;-0.323;0.224;-0.009;-0.323;0.289;-0.289;0.319;-0.319;0.245;0.04;-0.323;0.205;-0.056;-0.323;0.183;-0.032;-0.323;0.2;0.002;-0.323;0.191;0.051;-0.323;0.229;0.006;-0.323;0.26;0.047;-0.323;0.203;0.035;-0.323;0.238;-0.021;-0.323;0.25;0.036;-0.323;0.168;0.033;-0.323;0.237;0.011;-0.323;0.149;0.007;-0.323;0.182;0.022;-0.323;0.207;0.034;-0.323;-0.237;0.323;-0.053;-0.032;-0.193;-0.111;0.088;-0.226;-0.117;0.296;-0.055;-0.187;-0.055;-0.223;0.226;-0.223;0.057;-0.291;-0.078;-0.057;0.125;-0.111;0.724;-0.078;-0.329;-0.256;-0.286;-0.744;0.207;0.163;0.067;-0.652;-0.153;0.058;-0.503;-0.183;0.629;0.288;0.134;-0.585;0.232;0.024;-0.041;0.036;-0.619;0.602;0.041;0.223;-0.263;-0.032;-0.067;-0.322;-0.07;0.296;-0.055;-0.005;0.239;-0.291;-0.079;-0.892;1.0;-0.256;-0.208;-0.54;0.461;0.058;0.033;0.024;-0.147;0.024;0.024;0.041;0.214;-0.268;0.024;0.033;0.041;0.075;0.039;0.033;0.047;0.024;-0.007;0.041;-0.022;0.041;0.058;-0.022;0.033;0.024;0.033;-0.062
index__org:group_3_C;-0.056;-0.06;-0.029;-0.02;-0.039;-0.011;0.07;-0.019;-0.022;-0.027;-0.021;0.128;-0.198;-0.054;0.515;-0.039;-0.275;0.515;-0.057;-0.228;0.515;-0.057;-0.277;0.515;-0.045;-0.259;0.515;-0.484;0.484;-0.49;0.49;-0.412;-0.028;0.515;-0.091;-0.146;0.515;-0.062;-0.176;0.515;-0.073;-0.222;0.515;-0.359;-0.01;0.515;-0.366;-0.008;0.515;-0.44;-0.023;0.515;-0.057;-0.277;0.515;-0.067;-0.24;0.515;-0.415;-0.027;0.515;-0.071;-0.227;0.515;-0.39;0.001;0.515;-0.103;-0.142;0.515;-0.027;-0.268;0.515;-0.056;-0.281;0.515;0.818;-0.515;-0.014;-0.012;-0.021;-0.012;0.09;-0.03;0.152;-0.433;-0.006;-0.028;-0.006;0.87;-0.058;0.87;-0.301;-0.041;0.305;-0.016;-0.032;0.321;-0.186;-0.009;-0.036;1.0;-0.031;-0.082;-0.053;-0.042;-0.017;-0.005;0.748;-0.034;-0.055;-0.024;-0.161;-0.074;0.056;0.056;-0.062;-0.006;0.249;0.199;0.021;-0.165;-0.01;-0.457;0.737;-0.012;0.003;0.018;0.59;-0.433;-0.006;0.02;-0.002;-0.041;0.009;-0.098;-0.256;1.0;-0.023;0.294;-0.273;-0.034;-0.009;-0.006;0.152;-0.006;-0.006;-0.01;0.08;-0.133;-0.006;-0.009;-0.01;-0.019;0.061;-0.009;-0.012;-0.006;0.166;-0.01;0.148;-0.01;-0.015;0.148;-0.009;-0.006;-0.009;0.055
index__org:group_3_L;0.051;-0.065;-0.023;-0.005;0.013;0.044;0.097;-0.016;-0.018;0.039;-0.017;-0.029;0.037;-0.022;-0.033;-0.051;0.064;-0.033;-0.038;0.052;-0.033;-0.046;0.059;-0.033;-0.027;0.043;-0.033;0.035;-0.035;0.035;-0.035;0.006;0.037;-0.033;-0.048;0.063;-0.033;-0.057;0.072;-0.033;-0.033;0.048;-0.033;0.05;-0.035;-0.033;0.018;0.007;-0.033;0.039;-0.019;-0.033;-0.046;0.059;-0.033;-0.027;0.043;-0.033;0.041;-0.022;-0.033;-0.004;0.022;-0.033;0.046;-0.03;-0.033;0.046;-0.029;-0.033;-0.058;0.07;-0.033;-0.045;0.058;-0.033;-0.021;0.033;-0.011;-0.01;-0.017;-0.01;-0.027;-0.024;0.089;0.024;-0.005;-0.023;-0.005;-0.02;-0.047;-0.02;0.053;0.008;-0.007;-0.013;-0.026;-0.01;-0.151;-0.007;-0.029;-0.023;0.082;0.231;-0.043;-0.034;-0.014;0.185;-0.026;-0.027;0.119;-0.02;-0.131;-0.06;-0.035;0.094;-0.05;-0.005;-0.016;-0.024;0.163;-0.114;-0.009;-0.468;-0.023;-0.01;0.633;-0.037;-0.035;0.024;0.265;-0.241;-0.057;0.008;0.637;-0.079;-0.208;-0.023;1.0;-0.056;-0.052;-0.027;-0.007;-0.005;0.499;-0.005;-0.005;-0.009;-0.059;0.075;-0.005;-0.007;-0.009;-0.016;-0.014;-0.007;-0.01;-0.005;-0.012;-0.009;-0.007;-0.009;-0.012;-0.007;-0.007;-0.005;-0.007;0.006
index__org:group_4_A;-0.003;-0.063;-0.048;0.041;-0.028;-0.016;-0.024;0.018;0.032;0.003;0.068;0.044;-0.147;0.0;0.303;-0.031;-0.155;0.303;-0.085;-0.087;0.303;-0.078;-0.125;0.303;-0.07;-0.113;0.303;-0.276;0.276;-0.281;0.281;-0.238;-0.024;0.303;-0.105;-0.034;0.303;-0.08;-0.06;0.303;-0.089;-0.09;0.303;-0.204;-0.014;0.303;-0.213;-0.008;0.303;-0.251;-0.028;0.303;-0.09;-0.115;0.303;-0.112;-0.078;0.303;-0.241;-0.021;0.303;-0.103;-0.079;0.303;-0.227;-0.004;0.303;-0.114;-0.032;0.303;-0.03;-0.145;0.303;-0.087;-0.121;0.303;0.303;-0.303;0.059;0.073;0.068;0.073;-0.026;0.16;-0.0;-0.237;-0.015;0.09;-0.015;0.303;-0.034;0.303;-0.145;0.17;-0.021;-0.039;-0.058;0.073;-0.448;-0.021;0.164;0.294;0.148;0.355;-0.13;0.055;-0.042;-0.175;0.424;-0.083;0.738;0.355;-0.395;-0.181;0.001;0.831;-0.152;0.088;0.075;0.096;-0.15;-0.404;-0.026;-0.143;0.307;0.073;-0.088;0.169;0.158;-0.237;-0.015;-0.018;-0.045;0.17;-0.081;0.475;-0.54;0.294;-0.056;1.0;-0.814;-0.083;-0.021;-0.015;-0.039;-0.015;-0.015;-0.026;-0.057;0.053;0.088;-0.021;-0.026;-0.015;-0.006;-0.021;-0.03;-0.015;-0.036;-0.026;0.052;-0.026;0.006;0.052;0.052;-0.015;0.052;0.03
index__org:group_4_B;0.009;0.059;0.067;-0.04;0.043;0.026;-0.054;-0.028;-0.059;0.022;-0.067;-0.035;0.132;-0.001;-0.271;0.003;0.16;-0.271;0.041;0.11;-0.271;0.022;0.152;-0.271;0.027;0.133;-0.271;0.244;-0.244;0.249;-0.249;0.199;0.045;-0.271;0.071;0.054;-0.271;0.043;0.082;-0.271;0.044;0.112;-0.271;0.185;0.01;-0.271;0.184;0.016;-0.271;0.227;0.02;-0.271;0.043;0.135;-0.271;0.063;0.102;-0.271;0.215;0.022;-0.271;0.027;0.13;-0.271;0.181;0.035;-0.271;0.088;0.043;-0.271;-0.02;0.171;-0.271;0.037;0.142;-0.271;-0.285;0.271;-0.08;-0.053;-0.041;-0.053;-0.383;-0.114;-0.02;0.459;-0.072;-0.094;-0.072;-0.266;0.07;-0.266;0.282;-0.112;0.026;-0.02;-0.361;-0.143;0.546;-0.101;-0.112;-0.273;-0.156;-0.281;0.16;-0.453;-0.203;0.215;-0.378;-0.399;-0.652;-0.289;0.486;0.223;0.023;-0.758;-0.083;-0.072;-0.075;-0.077;0.191;0.476;-0.124;0.215;-0.282;-0.053;-0.033;-0.16;-0.479;0.459;0.018;0.191;-0.156;-0.112;-0.002;-0.367;0.461;-0.273;-0.052;-0.814;1.0;-0.399;-0.101;-0.072;-0.19;-0.072;-0.072;-0.124;-0.099;0.126;-0.072;0.026;-0.124;0.029;0.02;0.026;0.037;0.018;-0.139;0.032;-0.038;0.032;-0.029;-0.038;-0.038;0.018;-0.038;-0.018
index__org:group_4_C;-0.001;0.042;-0.035;0.039;-0.047;0.002;0.049;0.036;0.026;-0.033;-0.025;-0.037;-0.052;0.05;0.009;-0.076;0.059;0.009;-0.041;0.032;0.009;-0.046;0.032;0.009;-0.043;0.032;0.009;-0.003;0.003;-0.005;0.005;0.012;-0.034;0.009;0.002;-0.007;0.009;0.005;-0.009;0.009;-0.051;0.041;0.009;-0.03;0.031;0.009;0.009;-0.022;0.009;-0.02;0.023;0.009;-0.046;0.032;0.009;-0.042;0.032;0.009;-0.013;0.009;0.009;-0.011;0.005;0.009;0.024;-0.045;0.009;-0.031;0.025;0.009;-0.011;0.004;0.009;-0.044;0.031;0.009;0.013;-0.009;0.067;-0.015;-0.025;-0.015;0.827;-0.036;0.051;-0.521;0.179;0.049;0.179;-0.029;-0.07;-0.029;-0.33;-0.05;-0.01;0.122;0.874;0.079;-0.223;0.253;-0.043;-0.034;0.074;-0.098;-0.064;0.665;-0.021;-0.086;-0.038;1.0;-0.066;-0.029;-0.194;-0.089;-0.052;0.003;0.464;-0.007;-0.024;-0.036;-0.084;-0.198;-0.013;-0.041;0.006;-0.015;0.055;0.053;0.678;-0.521;-0.007;-0.294;0.41;-0.05;-0.04;-0.04;0.058;-0.034;-0.027;-0.083;-0.399;1.0;-0.01;-0.007;-0.019;-0.007;-0.007;-0.013;0.335;-0.301;-0.007;-0.01;-0.013;-0.023;-0.021;-0.01;-0.015;-0.007;0.211;-0.013;-0.01;-0.013;-0.018;-0.01;-0.01;-0.007;-0.01;-0.017
