;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;encoded_label
static__Oligurie_True;-0.027;0.049;-0.028;-0.048;0.213;-0.042;0.023;-0.019;-0.021;-0.026;-0.02;-0.047;-0.072;0.095;-0.039;-0.063;0.078;-0.039;-0.014;0.034;-0.039;-0.057;0.073;-0.039;-0.068;0.082;-0.039;0.042;-0.042;0.041;-0.041;0.049;-0.027;-0.039;-0.053;0.071;-0.039;-0.024;0.042;-0.039;-0.051;0.068;-0.039;-0.341;0.487;-0.039;-0.271;0.402;-0.039;-0.079;0.222;-0.039;-0.057;0.072;-0.039;-0.067;0.082;-0.039;-0.547;1.0;-0.039;-0.027;0.046;-0.039;-0.105;0.193;-0.039;-0.1;0.116;-0.039;-0.071;0.085;-0.039;-0.056;0.071;-0.039;-0.025;0.039;-0.013;-0.012;-0.02;-0.012;-0.012;-0.028;-0.012;0.041;0.245
static__Oligurie_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__SIRSCritHeartRate_False;-0.099;-0.071;-0.032;-0.051;-0.011;-0.026;-0.008;-0.019;0.053;0.04;0.145;0.118;0.203;-0.159;-0.106;0.549;-0.414;-0.106;0.464;-0.365;-0.106;0.597;-0.438;-0.106;0.501;-0.382;-0.106;0.112;-0.112;0.096;-0.096;0.131;-0.073;-0.106;0.25;-0.201;-0.106;0.266;-0.215;-0.106;0.473;-0.366;-0.106;0.15;-0.1;-0.106;0.147;-0.096;-0.106;0.123;-0.059;-0.106;0.635;-0.47;-0.106;0.528;-0.404;-0.106;0.104;-0.027;-0.106;1.0;-0.833;-0.106;0.125;-0.065;-0.106;0.181;-0.127;-0.106;0.446;-0.339;-0.106;0.651;-0.479;-0.106;-0.067;0.106;-0.035;-0.031;-0.055;-0.031;-0.001;-0.074;-0.031;0.071;-0.049
static__SIRSCritHeartRate_True;0.102;0.103;0.052;0.073;-0.027;0.046;0.01;-0.024;-0.078;-0.014;-0.138;-0.151;0.006;0.227;-0.463;-0.437;0.65;-0.463;-0.35;0.565;-0.463;-0.484;0.693;-0.463;-0.391;0.607;-0.463;0.425;-0.425;0.445;-0.445;0.333;0.087;-0.463;-0.098;0.309;-0.463;-0.122;0.332;-0.463;-0.361;0.578;-0.463;0.232;0.125;-0.463;0.241;0.12;-0.463;0.369;0.071;-0.463;-0.519;0.722;-0.463;-0.415;0.629;-0.463;0.361;0.046;-0.463;-0.833;1.0;-0.463;0.287;0.088;-0.463;-0.064;0.279;-0.463;-0.339;0.56;-0.463;-0.534;0.734;-0.463;-0.294;0.463;-0.154;-0.137;-0.239;-0.137;0.262;-0.326;-0.137;-0.034;-0.004
static__SIRSCritHeartRate_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__SIRSCritLeucos_False;0.001;0.019;0.058;0.037;-0.087;0.036;0.03;-0.036;-0.055;0.028;0.008;-0.032;0.364;-0.02;-0.714;0.107;0.327;-0.714;0.15;0.246;-0.714;0.12;0.338;-0.714;0.129;0.292;-0.714;0.669;-0.669;0.678;-0.678;0.576;0.03;-0.714;0.188;0.14;-0.714;0.188;0.141;-0.714;0.141;0.266;-0.714;0.593;-0.118;-0.714;0.579;-0.092;-0.714;0.652;-0.05;-0.714;0.119;0.34;-0.714;0.116;0.306;-0.714;0.66;-0.105;-0.714;0.125;0.287;-0.714;1.0;-0.66;-0.714;0.191;0.148;-0.714;0.089;0.319;-0.714;0.117;0.347;-0.714;-0.455;0.714;-0.238;-0.212;-0.37;-0.212;0.322;-0.504;-0.212;0.055;-0.126
static__SIRSCritLeucos_True;0.026;0.05;-0.038;0.001;0.053;-0.008;-0.037;-0.026;0.018;0.002;-0.028;-0.043;-0.158;0.193;-0.054;-0.051;0.076;-0.054;-0.091;0.111;-0.054;-0.079;0.1;-0.054;-0.076;0.098;-0.054;0.057;-0.057;0.057;-0.057;0.045;-0.0;-0.054;-0.026;0.051;-0.054;-0.045;0.069;-0.054;-0.084;0.105;-0.054;-0.141;0.237;-0.054;-0.108;0.197;-0.054;-0.007;0.106;-0.054;-0.078;0.099;-0.054;-0.058;0.082;-0.054;-0.066;0.193;-0.054;-0.065;0.088;-0.054;-0.66;1.0;-0.054;-0.085;0.108;-0.054;-0.014;0.043;-0.054;-0.077;0.098;-0.054;-0.034;0.054;-0.018;-0.016;-0.028;-0.016;0.044;-0.038;-0.016;-0.021;0.088
static__SIRSCritLeucos_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__SIRSCritTachypnea_False;-0.07;0.021;-0.042;-0.053;-0.053;-0.065;-0.037;-0.034;0.033;-0.015;0.042;0.132;0.291;-0.217;-0.175;0.298;-0.155;-0.175;0.336;-0.211;-0.175;0.316;-0.159;-0.175;0.31;-0.174;-0.175;0.174;-0.174;0.183;-0.183;0.138;0.013;-0.175;0.156;-0.075;-0.175;0.139;-0.057;-0.175;0.33;-0.2;-0.175;0.233;-0.145;-0.175;0.185;-0.081;-0.175;0.203;-0.098;-0.175;0.355;-0.191;-0.175;0.333;-0.193;-0.175;0.205;-0.1;-0.175;0.181;-0.064;-0.175;0.191;-0.085;-0.175;1.0;-0.888;-0.175;0.162;-0.047;-0.175;0.361;-0.193;-0.175;-0.111;0.175;-0.058;-0.052;-0.091;-0.052;0.073;-0.123;-0.052;0.021;-0.143
static__SIRSCritTachypnea_True;0.079;0.013;0.06;0.075;0.02;0.081;0.038;-0.0;-0.058;0.033;-0.047;-0.167;-0.125;0.282;-0.298;-0.245;0.387;-0.298;-0.272;0.407;-0.298;-0.266;0.408;-0.298;-0.253;0.393;-0.298;0.272;-0.272;0.268;-0.268;0.244;0.006;-0.298;-0.046;0.182;-0.298;-0.037;0.173;-0.298;-0.27;0.405;-0.298;0.081;0.171;-0.298;0.133;0.107;-0.298;0.205;0.11;-0.298;-0.305;0.44;-0.298;-0.276;0.413;-0.298;0.182;0.116;-0.298;-0.127;0.279;-0.298;0.148;0.108;-0.298;-0.888;1.0;-0.298;-0.108;0.263;-0.298;-0.311;0.446;-0.298;-0.189;0.298;-0.099;-0.088;-0.154;-0.088;0.149;-0.21;-0.088;0.004;0.099
static__SIRSCritTachypnea_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__SIRSCritTemperature_False;-0.051;-0.106;0.053;-0.063;-0.026;0.061;-0.072;0.013;0.053;-0.026;0.203;0.078;0.156;-0.111;-0.105;0.604;-0.462;-0.105;0.467;-0.368;-0.105;0.634;-0.47;-0.105;0.594;-0.464;-0.105;0.111;-0.111;0.095;-0.095;0.117;-0.051;-0.105;0.283;-0.234;-0.105;0.306;-0.255;-0.105;0.486;-0.378;-0.105;0.106;-0.042;-0.105;0.124;-0.066;-0.105;0.109;-0.032;-0.105;0.684;-0.511;-0.105;0.571;-0.443;-0.105;0.129;-0.071;-0.105;0.446;-0.339;-0.105;0.089;-0.014;-0.105;0.162;-0.108;-0.105;1.0;-0.832;-0.105;0.677;-0.501;-0.105;-0.067;0.105;-0.035;-0.031;-0.054;-0.031;0.037;-0.074;-0.031;0.022;-0.027
static__SIRSCritTemperature_True;0.059;0.134;-0.024;0.084;-0.014;-0.033;0.068;-0.052;-0.079;0.045;-0.189;-0.116;0.048;0.184;-0.464;-0.485;0.693;-0.464;-0.352;0.568;-0.464;-0.517;0.721;-0.464;-0.472;0.681;-0.464;0.427;-0.427;0.447;-0.447;0.346;0.068;-0.464;-0.126;0.338;-0.464;-0.157;0.368;-0.464;-0.372;0.589;-0.464;0.272;0.073;-0.464;0.263;0.093;-0.464;0.383;0.047;-0.464;-0.562;0.759;-0.464;-0.453;0.664;-0.464;0.34;0.085;-0.464;-0.339;0.56;-0.464;0.319;0.043;-0.464;-0.047;0.263;-0.464;-0.832;1.0;-0.464;-0.557;0.755;-0.464;-0.295;0.464;-0.154;-0.138;-0.24;-0.138;0.229;-0.327;-0.138;0.01;-0.023
static__SIRSCritTemperature_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__SIRSCriteria2OrMore_False;-0.101;-0.099;-0.033;-0.101;-0.008;-0.038;-0.057;-0.002;0.053;-0.056;0.195;0.205;0.221;-0.19;-0.083;0.772;-0.62;-0.083;0.658;-0.553;-0.083;0.853;-0.668;-0.083;0.742;-0.607;-0.083;0.088;-0.088;0.087;-0.087;0.103;-0.057;-0.083;0.327;-0.289;-0.083;0.358;-0.316;-0.083;0.676;-0.561;-0.083;0.127;-0.09;-0.083;0.125;-0.087;-0.083;0.097;-0.047;-0.083;0.967;-0.762;-0.083;0.773;-0.633;-0.083;0.102;-0.056;-0.083;0.651;-0.534;-0.083;0.117;-0.077;-0.083;0.361;-0.311;-0.083;0.677;-0.557;-0.083;1.0;-0.784;-0.083;-0.053;0.083;-0.028;-0.025;-0.043;-0.025;0.009;-0.059;-0.025;0.044;-0.05
static__SIRSCriteria2OrMore_True;0.1;0.127;0.054;0.116;-0.035;0.056;0.051;-0.043;-0.079;0.071;-0.172;-0.223;0.024;0.254;-0.553;-0.587;0.833;-0.553;-0.479;0.731;-0.553;-0.661;0.897;-0.553;-0.557;0.806;-0.553;0.513;-0.513;0.521;-0.521;0.417;0.073;-0.553;-0.134;0.386;-0.553;-0.17;0.422;-0.553;-0.498;0.751;-0.553;0.302;0.115;-0.553;0.312;0.111;-0.553;0.454;0.059;-0.553;-0.755;0.976;-0.553;-0.584;0.83;-0.553;0.422;0.071;-0.553;-0.479;0.734;-0.553;0.347;0.098;-0.553;-0.193;0.446;-0.553;-0.501;0.755;-0.553;-0.784;1.0;-0.553;-0.352;0.553;-0.184;-0.164;-0.286;-0.164;0.285;-0.39;-0.164;-0.003;-0.011
static__SIRSCriteria2OrMore_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
index__concept:name_0_CRP;-0.052;-0.073;-0.026;-0.014;-0.037;-0.04;0.027;-0.018;0.047;-0.025;-0.019;0.139;-0.214;-0.098;0.636;-0.06;-0.321;0.636;-0.073;-0.274;0.636;-0.054;-0.345;0.636;-0.064;-0.305;0.636;-0.6;0.6;-0.607;0.607;-0.514;-0.026;0.636;-0.143;-0.148;0.636;-0.132;-0.161;0.636;-0.069;-0.288;0.636;-0.418;-0.04;0.636;-0.425;-0.039;0.636;-0.547;-0.021;0.636;-0.054;-0.347;0.636;-0.064;-0.307;0.636;-0.518;-0.025;0.636;-0.067;-0.294;0.636;-0.455;-0.034;0.636;-0.111;-0.189;0.636;-0.067;-0.295;0.636;-0.053;-0.352;0.636;1.0;-0.636;-0.012;-0.011;-0.019;-0.011;-0.523;0.902;-0.011;-0.034;0.064
index__concept:name_0_ER Registration;0.025;0.072;0.041;0.051;-0.067;0.04;0.006;-0.072;-0.056;0.039;-0.015;-0.083;0.336;0.153;-1.0;0.094;0.505;-1.0;0.115;0.431;-1.0;0.086;0.542;-1.0;0.101;0.479;-1.0;0.943;-0.943;0.954;-0.954;0.808;0.04;-1.0;0.225;0.233;-1.0;0.208;0.252;-1.0;0.109;0.452;-1.0;0.656;0.064;-1.0;0.669;0.061;-1.0;0.86;0.033;-1.0;0.085;0.545;-1.0;0.1;0.483;-1.0;0.815;0.039;-1.0;0.106;0.463;-1.0;0.714;0.054;-1.0;0.175;0.298;-1.0;0.105;0.464;-1.0;0.083;0.553;-1.0;-0.636;1.0;-0.332;-0.297;-0.517;-0.297;0.469;-0.705;-0.297;0.053;-0.085
index__concept:name_0_ER Sepsis Triage;-0.027;-0.038;-0.014;-0.024;0.052;-0.021;-0.013;0.134;-0.011;-0.013;-0.01;0.034;-0.112;-0.051;0.332;-0.031;-0.168;0.332;-0.038;-0.143;0.332;-0.028;-0.18;0.332;-0.034;-0.159;0.332;-0.314;0.314;-0.317;0.317;-0.269;-0.013;0.332;-0.075;-0.077;0.332;-0.069;-0.084;0.332;-0.036;-0.15;0.332;-0.218;-0.021;0.332;-0.222;-0.02;0.332;-0.286;-0.011;0.332;-0.028;-0.181;0.332;-0.033;-0.161;0.332;-0.271;-0.013;0.332;-0.035;-0.154;0.332;-0.238;-0.018;0.332;-0.058;-0.099;0.332;-0.035;-0.154;0.332;-0.028;-0.184;0.332;-0.012;-0.332;1.0;-0.006;-0.01;-0.006;0.024;-0.014;-0.006;-0.018;0.062
index__concept:name_0_ER Triage;0.036;-0.034;-0.012;-0.021;0.062;-0.019;-0.012;-0.008;0.131;-0.012;0.137;-0.058;-0.1;-0.046;0.297;-0.028;-0.15;0.297;-0.034;-0.128;0.297;-0.025;-0.161;0.297;-0.03;-0.142;0.297;-0.28;0.28;-0.283;0.283;-0.24;-0.012;0.297;-0.067;-0.069;0.297;-0.062;-0.075;0.297;-0.032;-0.134;0.297;-0.195;-0.019;0.297;-0.199;-0.018;0.297;-0.256;-0.01;0.297;-0.025;-0.162;0.297;-0.03;-0.144;0.297;-0.242;-0.012;0.297;-0.031;-0.137;0.297;-0.212;-0.016;0.297;-0.052;-0.088;0.297;-0.031;-0.138;0.297;-0.025;-0.164;0.297;-0.011;-0.297;-0.006;1.0;-0.009;-0.005;-0.244;-0.012;1.0;-0.016;0.024
index__concept:name_0_IV Liquid;-0.007;-0.006;-0.021;-0.037;0.108;0.01;-0.021;0.078;-0.016;-0.02;-0.016;-0.015;-0.174;-0.079;0.517;-0.049;-0.261;0.517;-0.06;-0.223;0.517;-0.044;-0.281;0.517;-0.052;-0.248;0.517;-0.488;0.488;-0.494;0.494;-0.418;-0.021;0.517;-0.117;-0.121;0.517;-0.108;-0.131;0.517;-0.056;-0.234;0.517;-0.34;-0.033;0.517;-0.346;-0.032;0.517;-0.445;-0.017;0.517;-0.044;-0.282;0.517;-0.052;-0.25;0.517;-0.422;-0.02;0.517;-0.055;-0.239;0.517;-0.37;-0.028;0.517;-0.091;-0.154;0.517;-0.054;-0.24;0.517;-0.043;-0.286;0.517;-0.019;-0.517;-0.01;-0.009;1.0;-0.009;0.037;-0.021;-0.009;-0.028;0.042
index__concept:name_0_Leucocytes;0.036;0.012;-0.012;-0.021;-0.017;-0.019;-0.012;-0.008;-0.009;-0.012;-0.009;0.016;-0.1;-0.046;0.297;-0.028;-0.15;0.297;-0.034;-0.128;0.297;-0.025;-0.161;0.297;-0.03;-0.142;0.297;-0.28;0.28;-0.283;0.283;-0.24;-0.012;0.297;-0.067;-0.069;0.297;-0.062;-0.075;0.297;-0.032;-0.134;0.297;-0.195;-0.019;0.297;-0.199;-0.018;0.297;-0.256;-0.01;0.297;-0.025;-0.162;0.297;-0.03;-0.144;0.297;-0.242;-0.012;0.297;-0.031;-0.137;0.297;-0.212;-0.016;0.297;-0.052;-0.088;0.297;-0.031;-0.138;0.297;-0.025;-0.164;0.297;-0.011;-0.297;-0.006;-0.005;-0.009;1.0;-0.244;0.421;-0.005;-0.016;-0.028
index__org:group_0_A;-0.028;0.116;0.05;0.017;0.007;-0.002;-0.068;0.034;-0.036;-0.012;-0.079;-0.056;0.149;0.081;-0.469;0.044;0.237;-0.469;0.054;0.202;-0.469;0.028;0.264;-0.469;0.029;0.241;-0.469;0.437;-0.437;0.443;-0.443;0.395;-0.009;-0.469;0.122;0.093;-0.469;0.089;0.126;-0.469;0.03;0.23;-0.469;0.301;0.039;-0.469;0.324;0.015;-0.469;0.409;0.004;-0.469;0.012;0.279;-0.469;0.0;0.267;-0.469;0.4;-0.012;-0.469;-0.001;0.262;-0.469;0.322;0.044;-0.469;0.073;0.149;-0.469;0.037;0.229;-0.469;0.009;0.285;-0.469;-0.523;0.469;0.024;-0.244;0.037;-0.244;1.0;-0.58;-0.244;-0.748;-0.05
index__org:group_0_B;-0.031;-0.061;-0.029;-0.022;-0.041;-0.044;0.019;-0.02;0.038;-0.028;-0.021;0.133;-0.237;-0.108;0.705;-0.066;-0.356;0.705;-0.081;-0.304;0.705;-0.06;-0.383;0.705;-0.071;-0.338;0.705;-0.665;0.665;-0.673;0.673;-0.57;-0.028;0.705;-0.159;-0.164;0.705;-0.147;-0.178;0.705;-0.077;-0.319;0.705;-0.463;-0.045;0.705;-0.472;-0.043;0.705;-0.607;-0.023;0.705;-0.06;-0.384;0.705;-0.071;-0.341;0.705;-0.575;-0.028;0.705;-0.074;-0.326;0.705;-0.504;-0.038;0.705;-0.123;-0.21;0.705;-0.074;-0.327;0.705;-0.059;-0.39;0.705;0.902;-0.705;-0.014;-0.012;-0.021;0.421;-0.58;1.0;-0.012;-0.038;0.046
index__org:group_0_C;0.036;-0.034;-0.012;-0.021;0.062;-0.019;-0.012;-0.008;0.131;-0.012;0.137;-0.058;-0.1;-0.046;0.297;-0.028;-0.15;0.297;-0.034;-0.128;0.297;-0.025;-0.161;0.297;-0.03;-0.142;0.297;-0.28;0.28;-0.283;0.283;-0.24;-0.012;0.297;-0.067;-0.069;0.297;-0.062;-0.075;0.297;-0.032;-0.134;0.297;-0.195;-0.019;0.297;-0.199;-0.018;0.297;-0.256;-0.01;0.297;-0.025;-0.162;0.297;-0.03;-0.144;0.297;-0.242;-0.012;0.297;-0.031;-0.137;0.297;-0.212;-0.016;0.297;-0.052;-0.088;0.297;-0.031;-0.138;0.297;-0.025;-0.164;0.297;-0.011;-0.297;-0.006;1.0;-0.009;-0.005;-0.244;-0.012;1.0;-0.016;0.024
index__org:group_0_L;0.049;-0.089;-0.038;0.003;0.001;0.043;0.076;-0.025;-0.029;0.041;0.072;-0.014;0.03;-0.004;-0.053;0.005;0.027;-0.053;0.006;0.023;-0.053;0.02;0.016;-0.053;0.029;0.005;-0.053;0.057;-0.057;0.056;-0.056;0.022;0.039;-0.053;-0.009;0.033;-0.053;0.022;0.003;-0.053;0.032;0.0;-0.053;0.044;-0.008;-0.053;0.022;0.021;-0.053;0.039;0.016;-0.053;0.04;-0.001;-0.053;0.065;-0.027;-0.053;0.021;0.041;-0.053;0.071;-0.034;-0.053;0.055;-0.021;-0.053;0.021;0.004;-0.053;0.022;0.01;-0.053;0.044;-0.003;-0.053;-0.034;0.053;-0.018;-0.016;-0.028;-0.016;-0.748;-0.038;-0.016;1.0;0.02
encoded_label;0.031;-0.12;-0.045;-0.089;0.605;0.006;-0.066;-0.045;-0.052;-0.064;-0.05;-0.063;-0.16;0.125;0.085;0.002;-0.052;0.085;-0.052;0.001;0.085;-0.02;-0.036;0.085;-0.017;-0.034;0.085;-0.086;0.086;-0.073;0.073;-0.046;-0.043;0.085;-0.043;0.004;0.085;-0.05;0.01;0.085;-0.046;-0.005;0.085;-0.295;0.31;0.085;-0.304;0.326;0.085;-0.134;0.116;0.085;-0.054;-0.007;0.085;-0.057;0.001;0.085;-0.213;0.245;0.085;-0.049;-0.004;0.085;-0.126;0.088;0.085;-0.143;0.099;0.085;-0.027;-0.023;0.085;-0.05;-0.011;0.085;0.064;-0.085;0.062;0.024;0.042;-0.028;-0.05;0.046;0.024;0.02;1.0
