;static__case:RequestedAmount;index__timesincemidnight_0;index__month_0;index__weekday_0;index__hour_0;index__open_cases_0;index__timesincelastevent_1;index__timesincecasestart_1;index__timesincemidnight_1;index__month_1;index__weekday_1;index__hour_1;index__open_cases_1;index__timesincelastevent_2;index__timesincecasestart_2;index__timesincemidnight_2;index__month_2;index__weekday_2;index__hour_2;index__open_cases_2;index__timesincelastevent_3;index__timesincecasestart_3;index__timesincemidnight_3;index__month_3;index__weekday_3;index__hour_3;index__open_cases_3;index__timesincelastevent_4;index__timesincecasestart_4;index__timesincemidnight_4;index__month_4;index__weekday_4;index__hour_4;index__open_cases_4;index__FirstWithdrawalAmount_5;index__MonthlyCost_5;index__NumberOfTerms_5;index__OfferedAmount_5;index__timesincelastevent_5;index__timesincecasestart_5;index__timesincemidnight_5;index__month_5;index__weekday_5;index__hour_5;index__open_cases_5;index__FirstWithdrawalAmount_6;index__MonthlyCost_6;index__NumberOfTerms_6;index__OfferedAmount_6;index__timesincelastevent_6;index__timesincecasestart_6;index__timesincemidnight_6;index__month_6;index__weekday_6;index__hour_6;index__open_cases_6;index__FirstWithdrawalAmount_7;index__MonthlyCost_7;index__NumberOfTerms_7;index__OfferedAmount_7;index__timesincelastevent_7;index__timesincecasestart_7;index__timesincemidnight_7;index__month_7;index__weekday_7;index__hour_7;index__open_cases_7;index__FirstWithdrawalAmount_8;index__MonthlyCost_8;index__NumberOfTerms_8;index__OfferedAmount_8;index__timesincelastevent_8;index__timesincecasestart_8;index__timesincemidnight_8;index__month_8;index__weekday_8;index__hour_8;index__open_cases_8;index__FirstWithdrawalAmount_9;index__MonthlyCost_9;index__NumberOfTerms_9;index__OfferedAmount_9;index__timesincelastevent_9;index__timesincecasestart_9;index__timesincemidnight_9;index__month_9;index__weekday_9;index__hour_9;index__open_cases_9;index__FirstWithdrawalAmount_10;index__MonthlyCost_10;index__NumberOfTerms_10;index__OfferedAmount_10;index__timesincelastevent_10;index__timesincecasestart_10;index__timesincemidnight_10;index__month_10;index__weekday_10;index__hour_10;index__open_cases_10;index__FirstWithdrawalAmount_11;index__MonthlyCost_11;index__NumberOfTerms_11;index__OfferedAmount_11;index__timesincelastevent_11;index__timesincecasestart_11;index__timesincemidnight_11;index__month_11;index__weekday_11;index__hour_11;index__open_cases_11;index__FirstWithdrawalAmount_12;index__MonthlyCost_12;index__NumberOfTerms_12;index__OfferedAmount_12;index__timesincelastevent_12;index__timesincecasestart_12;index__timesincemidnight_12;index__month_12;index__weekday_12;index__hour_12;index__open_cases_12;index__FirstWithdrawalAmount_13;index__MonthlyCost_13;index__NumberOfTerms_13;index__OfferedAmount_13;index__timesincelastevent_13;index__timesincecasestart_13;index__timesincemidnight_13;index__month_13;index__weekday_13;index__hour_13;index__open_cases_13;index__FirstWithdrawalAmount_14;index__MonthlyCost_14;index__NumberOfTerms_14;index__OfferedAmount_14;index__timesincelastevent_14;index__timesincecasestart_14;index__timesincemidnight_14;index__month_14;index__weekday_14;index__hour_14;index__open_cases_14;index__FirstWithdrawalAmount_15;index__MonthlyCost_15;index__NumberOfTerms_15;index__OfferedAmount_15;index__timesincelastevent_15;index__timesincecasestart_15;index__timesincemidnight_15;index__month_15;index__weekday_15;index__hour_15;index__open_cases_15;encoded_label
index__open_cases_5;0.041;-0.031;0.619;-0.01;-0.031;0.999;0.091;0.091;-0.031;0.619;-0.01;-0.031;0.999;-0.035;0.033;-0.031;0.619;-0.01;-0.031;0.999;-0.005;-0.005;-0.033;0.619;-0.009;-0.034;0.999;-0.016;-0.006;-0.034;0.619;-0.009;-0.035;0.999;0.038;0.015;0.009;0.023;0.016;0.013;-0.04;0.619;-0.007;-0.041;1.0;0.037;0.018;0.01;0.025;0.074;0.078;-0.06;0.622;0.011;-0.061;0.993;0.069;0.047;0.036;0.05;0.001;0.074;-0.061;0.622;0.01;-0.061;0.992;0.083;0.06;0.045;0.062;0.019;0.065;-0.061;0.623;0.011;-0.061;0.99;0.089;0.065;0.046;0.068;0.018;0.069;-0.065;0.623;0.011;-0.065;0.989;0.089;0.067;0.047;0.072;-0.009;0.05;-0.07;0.623;0.013;-0.07;0.987;0.088;0.064;0.044;0.07;0.011;0.051;-0.072;0.624;0.01;-0.073;0.987;0.088;0.064;0.042;0.07;-0.021;0.039;-0.076;0.624;0.01;-0.076;0.985;0.085;0.058;0.033;0.064;0.014;0.044;-0.032;0.629;0.005;-0.033;0.976;0.082;0.056;0.029;0.064;-0.0;0.042;-0.031;0.629;0.003;-0.031;0.974;0.08;0.054;0.027;0.062;-0.003;0.016;-0.037;0.634;-0.003;-0.037;0.943;0.005
index__FirstWithdrawalAmount_6;0.102;-0.08;0.052;-0.056;-0.079;0.037;-0.144;-0.144;-0.08;0.052;-0.056;-0.079;0.037;-0.156;-0.181;-0.08;0.052;-0.056;-0.079;0.037;-0.058;-0.058;-0.062;0.052;-0.045;-0.062;0.038;0.105;-0.054;-0.059;0.052;-0.045;-0.059;0.038;0.97;0.552;0.459;0.579;-0.044;-0.06;-0.058;0.052;-0.048;-0.058;0.037;1.0;0.566;0.467;0.588;-0.203;-0.224;0.015;0.051;-0.009;0.015;0.038;0.799;0.479;0.393;0.506;-0.028;-0.22;0.012;0.051;-0.009;0.012;0.038;0.602;0.36;0.286;0.402;-0.071;-0.204;0.001;0.051;-0.005;0.001;0.037;0.511;0.298;0.225;0.343;-0.06;-0.216;-0.011;0.05;-0.011;-0.011;0.037;0.468;0.261;0.19;0.311;-0.041;-0.191;-0.017;0.05;-0.01;-0.017;0.036;0.443;0.236;0.161;0.289;-0.04;-0.193;-0.019;0.05;-0.011;-0.019;0.036;0.425;0.223;0.14;0.272;-0.027;-0.182;-0.015;0.05;-0.009;-0.015;0.036;0.409;0.211;0.125;0.259;0.343;0.099;-0.113;0.047;0.006;-0.113;0.04;0.401;0.202;0.114;0.251;0.039;0.107;-0.121;0.047;0.005;-0.121;0.04;0.391;0.195;0.107;0.244;0.223;0.232;-0.13;0.043;0.026;-0.127;0.026;-0.001
index__MonthlyCost_6;0.109;-0.129;0.031;-0.092;-0.128;0.018;-0.227;-0.227;-0.129;0.031;-0.092;-0.128;0.018;-0.245;-0.285;-0.129;0.031;-0.092;-0.128;0.018;-0.091;-0.091;-0.102;0.031;-0.075;-0.101;0.018;0.164;-0.085;-0.097;0.031;-0.075;-0.096;0.018;0.542;0.945;0.611;0.838;-0.043;-0.07;-0.094;0.031;-0.078;-0.094;0.018;0.566;1.0;0.65;0.887;-0.318;-0.34;0.02;0.03;-0.017;0.02;0.018;0.452;0.853;0.54;0.764;-0.044;-0.335;0.015;0.03;-0.018;0.016;0.018;0.285;0.646;0.377;0.601;-0.106;-0.309;-0.001;0.03;-0.011;-0.002;0.017;0.199;0.547;0.279;0.51;-0.097;-0.329;-0.02;0.03;-0.02;-0.02;0.016;0.156;0.487;0.222;0.46;-0.062;-0.292;-0.03;0.029;-0.018;-0.029;0.015;0.127;0.45;0.173;0.424;-0.063;-0.296;-0.033;0.029;-0.018;-0.032;0.015;0.107;0.432;0.137;0.398;-0.041;-0.279;-0.026;0.029;-0.016;-0.026;0.015;0.094;0.399;0.114;0.38;0.525;0.151;-0.181;0.029;0.002;-0.181;0.023;0.084;0.387;0.093;0.367;0.112;0.182;-0.201;0.03;0.005;-0.201;0.024;0.078;0.378;0.08;0.358;0.337;0.359;-0.214;0.027;0.033;-0.21;0.013;-0.026
index__NumberOfTerms_6;-0.005;-0.143;0.016;-0.104;-0.142;0.011;-0.262;-0.262;-0.143;0.016;-0.104;-0.142;0.011;-0.282;-0.328;-0.143;0.016;-0.104;-0.142;0.011;-0.105;-0.105;-0.112;0.016;-0.084;-0.111;0.011;0.184;-0.098;-0.106;0.016;-0.084;-0.106;0.011;0.448;0.608;0.935;0.749;-0.044;-0.076;-0.102;0.016;-0.088;-0.101;0.01;0.467;0.65;1.0;0.8;-0.364;-0.387;0.033;0.015;-0.018;0.033;0.011;0.356;0.529;0.852;0.675;-0.051;-0.381;0.027;0.015;-0.018;0.027;0.011;0.192;0.345;0.65;0.504;-0.123;-0.353;0.008;0.015;-0.011;0.007;0.009;0.105;0.24;0.54;0.404;-0.112;-0.377;-0.014;0.014;-0.021;-0.014;0.009;0.061;0.176;0.481;0.346;-0.072;-0.334;-0.025;0.014;-0.018;-0.024;0.008;0.029;0.128;0.435;0.303;-0.073;-0.339;-0.029;0.014;-0.019;-0.028;0.007;0.008;0.095;0.405;0.272;-0.046;-0.319;-0.02;0.014;-0.016;-0.019;0.007;-0.006;0.07;0.383;0.25;0.622;0.189;-0.203;0.015;0.0;-0.203;0.018;-0.016;0.051;0.368;0.234;0.146;0.229;-0.229;0.016;0.003;-0.228;0.019;-0.023;0.038;0.359;0.223;0.378;0.413;-0.249;0.016;0.026;-0.244;0.011;-0.032
index__OfferedAmount_6;0.165;-0.129;0.04;-0.09;-0.128;0.026;-0.225;-0.225;-0.129;0.04;-0.09;-0.128;0.026;-0.243;-0.283;-0.129;0.04;-0.09;-0.128;0.026;-0.09;-0.09;-0.101;0.04;-0.073;-0.101;0.026;0.164;-0.084;-0.096;0.04;-0.073;-0.096;0.026;0.566;0.835;0.749;0.943;-0.041;-0.069;-0.093;0.04;-0.076;-0.093;0.025;0.588;0.887;0.8;1.0;-0.314;-0.335;0.021;0.039;-0.016;0.021;0.026;0.469;0.752;0.679;0.868;-0.044;-0.33;0.016;0.039;-0.016;0.016;0.026;0.3;0.566;0.508;0.699;-0.104;-0.305;-0.001;0.038;-0.009;-0.001;0.025;0.213;0.469;0.413;0.606;-0.096;-0.325;-0.02;0.038;-0.018;-0.019;0.024;0.17;0.411;0.36;0.555;-0.061;-0.288;-0.029;0.038;-0.016;-0.028;0.023;0.141;0.373;0.318;0.521;-0.063;-0.292;-0.032;0.038;-0.017;-0.032;0.023;0.121;0.352;0.289;0.495;-0.04;-0.275;-0.025;0.038;-0.014;-0.025;0.023;0.107;0.333;0.27;0.478;0.522;0.152;-0.177;0.037;0.001;-0.177;0.031;0.098;0.32;0.255;0.466;0.121;0.186;-0.198;0.038;0.003;-0.198;0.032;0.091;0.312;0.246;0.458;0.324;0.35;-0.206;0.035;0.026;-0.202;0.021;-0.028
index__timesincelastevent_6;0.041;0.139;0.004;0.189;0.139;0.074;0.073;0.073;0.139;0.004;0.189;0.139;0.074;0.164;0.143;0.139;0.004;0.189;0.139;0.074;-0.127;-0.127;0.185;0.004;0.218;0.184;0.075;-0.128;-0.132;0.181;0.004;0.218;0.181;0.075;-0.201;-0.311;-0.356;-0.307;-0.12;-0.16;0.173;0.004;0.212;0.173;0.074;-0.203;-0.318;-0.364;-0.314;1.0;0.908;-0.123;0.006;-0.057;-0.122;0.083;-0.148;-0.273;-0.328;-0.279;-0.047;0.846;-0.119;0.006;-0.057;-0.119;0.083;-0.016;-0.142;-0.192;-0.166;0.17;0.723;-0.05;0.007;-0.071;-0.048;0.086;0.068;-0.041;-0.082;-0.073;-0.114;0.645;-0.067;0.007;-0.083;-0.066;0.086;0.091;-0.011;-0.046;-0.045;0.081;0.552;-0.051;0.008;-0.081;-0.051;0.088;0.106;0.006;-0.028;-0.028;-0.064;0.506;-0.052;0.008;-0.082;-0.052;0.087;0.11;0.005;-0.028;-0.029;0.038;0.466;-0.054;0.008;-0.081;-0.054;0.088;0.111;0.004;-0.034;-0.031;-0.306;0.176;0.031;0.008;-0.083;0.031;0.083;0.114;0.002;-0.041;-0.033;-0.037;0.153;0.038;0.007;-0.082;0.038;0.084;0.115;0.002;-0.045;-0.033;-0.192;-0.093;0.071;0.009;-0.082;0.069;0.087;-0.016
index__timesincecasestart_6;0.046;0.129;0.001;0.198;0.129;0.075;0.041;0.041;0.129;0.001;0.198;0.129;0.075;0.131;0.104;0.129;0.001;0.198;0.129;0.075;0.012;0.012;0.13;0.001;0.19;0.13;0.076;-0.104;0.008;0.127;0.001;0.19;0.127;0.076;-0.224;-0.346;-0.397;-0.343;0.28;0.268;0.107;0.001;0.18;0.107;0.078;-0.224;-0.34;-0.387;-0.335;0.908;1.0;-0.168;0.004;-0.07;-0.167;0.087;-0.173;-0.278;-0.328;-0.281;0.032;0.956;-0.158;0.004;-0.072;-0.157;0.087;-0.055;-0.149;-0.191;-0.162;0.145;0.79;-0.092;0.005;-0.085;-0.09;0.09;0.019;-0.059;-0.091;-0.078;-0.066;0.726;-0.083;0.005;-0.094;-0.081;0.09;0.039;-0.028;-0.052;-0.047;0.067;0.609;-0.067;0.005;-0.092;-0.066;0.092;0.053;-0.009;-0.032;-0.028;-0.042;0.567;-0.064;0.005;-0.092;-0.063;0.092;0.058;-0.004;-0.024;-0.023;0.031;0.519;-0.067;0.006;-0.09;-0.066;0.092;0.059;-0.003;-0.026;-0.023;-0.334;0.201;0.03;0.005;-0.093;0.031;0.087;0.062;-0.002;-0.027;-0.021;-0.009;0.187;0.037;0.005;-0.094;0.038;0.088;0.062;-0.001;-0.03;-0.02;-0.206;-0.09;0.071;0.007;-0.095;0.069;0.093;-0.018
index__timesincemidnight_6;0.009;0.208;-0.012;-0.112;0.207;-0.063;0.029;0.029;0.208;-0.012;-0.112;0.207;-0.063;-0.021;0.005;0.208;-0.012;-0.112;0.207;-0.063;-0.23;-0.23;0.336;-0.013;-0.055;0.334;-0.061;-0.008;-0.23;0.336;-0.013;-0.055;0.334;-0.061;0.013;0.018;0.027;0.017;-0.034;-0.113;0.391;-0.013;-0.057;0.389;-0.06;0.015;0.02;0.033;0.021;-0.123;-0.168;1.0;-0.012;0.005;0.996;-0.06;0.012;0.02;0.034;0.021;0.017;-0.154;0.969;-0.012;0.008;0.966;-0.06;0.012;0.024;0.034;0.023;0.035;-0.093;0.76;-0.012;0.022;0.757;-0.059;0.005;0.018;0.028;0.017;-0.025;-0.098;0.646;-0.011;0.024;0.643;-0.06;0.008;0.019;0.031;0.019;0.016;-0.07;0.609;-0.011;0.026;0.607;-0.06;0.004;0.01;0.025;0.012;-0.017;-0.071;0.58;-0.011;0.027;0.578;-0.06;0.003;0.007;0.02;0.008;0.007;-0.062;0.568;-0.011;0.027;0.565;-0.06;0.001;0.006;0.018;0.006;0.022;-0.037;0.374;-0.012;0.038;0.373;-0.06;0.001;0.003;0.018;0.004;0.019;-0.029;0.352;-0.012;0.037;0.351;-0.06;0.001;0.002;0.016;0.002;0.033;0.015;0.271;-0.015;0.03;0.272;-0.062;-0.002
index__month_6;0.079;-0.024;0.993;-0.006;-0.024;0.622;0.45;0.45;-0.024;0.993;-0.006;-0.024;0.622;-0.086;0.217;-0.024;0.993;-0.006;-0.024;0.622;-0.009;-0.009;-0.019;0.993;-0.005;-0.02;0.622;-0.016;-0.01;-0.02;0.993;-0.005;-0.02;0.622;0.05;0.03;0.016;0.039;-0.003;-0.006;-0.024;0.993;-0.003;-0.025;0.622;0.051;0.03;0.015;0.039;0.006;0.004;-0.012;1.0;0.015;-0.012;0.617;0.068;0.044;0.026;0.051;-0.003;0.003;-0.013;1.0;0.014;-0.013;0.617;0.091;0.061;0.036;0.068;0.013;0.009;-0.017;0.998;0.015;-0.017;0.615;0.104;0.071;0.043;0.081;-0.001;0.009;-0.021;0.997;0.012;-0.021;0.615;0.108;0.075;0.046;0.088;-0.014;-0.0;-0.027;0.996;0.016;-0.027;0.613;0.111;0.075;0.046;0.088;-0.0;-0.0;-0.029;0.996;0.014;-0.028;0.613;0.11;0.076;0.047;0.09;-0.015;-0.005;-0.031;0.994;0.011;-0.031;0.612;0.11;0.074;0.042;0.088;-0.001;-0.005;-0.037;0.982;0.027;-0.037;0.604;0.109;0.072;0.039;0.087;-0.007;-0.007;-0.037;0.981;0.026;-0.037;0.603;0.109;0.072;0.039;0.088;0.0;-0.003;-0.009;0.955;0.008;-0.009;0.562;0.017
index__weekday_6;0.016;0.009;0.012;0.29;0.009;0.012;0.018;0.018;0.009;0.012;0.29;0.009;0.012;0.011;0.017;0.009;0.012;0.29;0.009;0.012;-0.095;-0.095;0.033;0.012;0.36;0.033;0.012;0.009;-0.095;0.033;0.012;0.36;0.033;0.012;-0.009;-0.016;-0.017;-0.015;-0.001;-0.035;0.024;0.013;0.389;0.024;0.011;-0.009;-0.017;-0.018;-0.016;-0.057;-0.07;0.005;0.015;1.0;0.005;0.009;-0.001;-0.007;-0.008;-0.005;0.017;-0.061;0.005;0.015;0.986;0.005;0.009;0.003;0.003;0.001;0.004;0.08;0.002;-0.019;0.014;0.867;-0.02;0.01;0.005;0.008;0.001;0.008;-0.002;0.001;-0.041;0.013;0.822;-0.042;0.01;0.007;0.011;0.004;0.01;0.021;0.011;-0.046;0.013;0.788;-0.046;0.01;0.006;0.01;0.005;0.009;0.009;0.013;-0.046;0.013;0.762;-0.047;0.01;0.004;0.008;0.007;0.009;0.013;0.016;-0.046;0.013;0.752;-0.047;0.011;0.004;0.005;0.007;0.006;-0.021;-0.001;-0.048;0.007;0.421;-0.049;0.016;0.004;0.005;0.005;0.006;-0.006;-0.004;-0.049;0.007;0.383;-0.05;0.016;0.005;0.004;0.005;0.006;0.002;-0.0;-0.045;0.009;0.377;-0.047;0.013;-0.004
index__hour_6;0.01;0.208;-0.012;-0.112;0.207;-0.063;0.029;0.029;0.208;-0.012;-0.112;0.207;-0.063;-0.021;0.005;0.208;-0.012;-0.112;0.207;-0.063;-0.228;-0.228;0.336;-0.013;-0.055;0.335;-0.061;-0.008;-0.228;0.336;-0.013;-0.055;0.335;-0.061;0.013;0.018;0.027;0.017;-0.034;-0.112;0.391;-0.013;-0.056;0.391;-0.061;0.015;0.02;0.033;0.021;-0.122;-0.167;0.996;-0.012;0.005;1.0;-0.06;0.012;0.02;0.034;0.021;0.016;-0.153;0.966;-0.012;0.008;0.967;-0.06;0.012;0.025;0.034;0.023;0.035;-0.092;0.758;-0.011;0.022;0.758;-0.06;0.005;0.018;0.028;0.017;-0.027;-0.098;0.644;-0.011;0.024;0.643;-0.06;0.008;0.019;0.031;0.019;0.016;-0.07;0.608;-0.011;0.026;0.607;-0.06;0.004;0.011;0.025;0.012;-0.018;-0.072;0.579;-0.011;0.027;0.578;-0.061;0.003;0.007;0.02;0.008;0.008;-0.062;0.567;-0.011;0.027;0.566;-0.061;0.001;0.006;0.018;0.006;0.022;-0.038;0.373;-0.012;0.038;0.372;-0.06;0.001;0.004;0.018;0.004;0.018;-0.029;0.351;-0.012;0.037;0.35;-0.06;0.001;0.002;0.016;0.002;0.033;0.015;0.27;-0.016;0.031;0.272;-0.062;-0.003
index__open_cases_6;0.041;-0.038;0.613;-0.014;-0.039;0.992;0.08;0.08;-0.038;0.613;-0.014;-0.039;0.992;-0.033;0.028;-0.038;0.613;-0.014;-0.039;0.992;-0.005;-0.005;-0.041;0.613;-0.013;-0.042;0.992;-0.016;-0.006;-0.041;0.613;-0.013;-0.042;0.992;0.038;0.016;0.009;0.024;0.016;0.014;-0.048;0.613;-0.011;-0.049;0.993;0.038;0.018;0.011;0.026;0.083;0.087;-0.06;0.617;0.009;-0.06;1.0;0.067;0.045;0.035;0.049;-0.0;0.082;-0.06;0.618;0.007;-0.061;1.0;0.082;0.06;0.044;0.062;0.021;0.073;-0.061;0.618;0.007;-0.062;0.998;0.089;0.065;0.046;0.068;0.019;0.076;-0.065;0.618;0.007;-0.065;0.997;0.089;0.067;0.048;0.073;-0.007;0.057;-0.07;0.619;0.01;-0.07;0.995;0.088;0.064;0.045;0.071;0.011;0.057;-0.073;0.619;0.007;-0.073;0.994;0.088;0.064;0.043;0.071;-0.02;0.045;-0.077;0.619;0.007;-0.077;0.993;0.085;0.059;0.034;0.066;0.014;0.05;-0.033;0.625;0.002;-0.033;0.984;0.082;0.056;0.031;0.065;0.001;0.047;-0.031;0.625;-0.001;-0.031;0.982;0.08;0.054;0.028;0.064;-0.004;0.017;-0.036;0.63;-0.008;-0.037;0.95;0.006
index__FirstWithdrawalAmount_7;0.147;-0.056;0.067;-0.031;-0.055;0.069;-0.117;-0.117;-0.056;0.067;-0.031;-0.055;0.069;-0.118;-0.142;-0.056;0.067;-0.031;-0.055;0.069;-0.068;-0.068;-0.034;0.067;-0.018;-0.034;0.069;0.075;-0.065;-0.032;0.067;-0.018;-0.031;0.069;0.773;0.442;0.353;0.463;-0.047;-0.067;-0.031;0.067;-0.021;-0.031;0.069;0.799;0.452;0.356;0.469;-0.148;-0.173;0.012;0.068;-0.001;0.012;0.067;1.0;0.567;0.452;0.583;-0.028;-0.172;0.01;0.068;-0.001;0.01;0.067;0.757;0.426;0.326;0.46;-0.086;-0.177;-0.003;0.067;0.004;-0.003;0.066;0.632;0.35;0.253;0.39;-0.071;-0.194;-0.017;0.067;-0.004;-0.018;0.066;0.58;0.306;0.211;0.352;-0.049;-0.178;-0.025;0.067;-0.001;-0.025;0.065;0.551;0.277;0.176;0.325;-0.047;-0.183;-0.027;0.067;-0.002;-0.027;0.065;0.529;0.262;0.151;0.305;-0.033;-0.175;-0.025;0.067;-0.0;-0.025;0.065;0.511;0.247;0.133;0.29;0.253;0.037;-0.098;0.064;0.011;-0.098;0.067;0.501;0.237;0.119;0.279;0.021;0.043;-0.101;0.064;0.011;-0.1;0.067;0.489;0.229;0.11;0.272;0.223;0.204;-0.139;0.062;0.014;-0.137;0.06;-0.01
index__MonthlyCost_7;0.165;-0.12;0.044;-0.083;-0.119;0.046;-0.211;-0.211;-0.12;0.044;-0.083;-0.119;0.046;-0.218;-0.259;-0.12;0.044;-0.083;-0.119;0.046;-0.107;-0.107;-0.087;0.044;-0.062;-0.086;0.047;0.133;-0.101;-0.083;0.044;-0.062;-0.083;0.047;0.457;0.806;0.497;0.711;0.01;-0.026;-0.08;0.044;-0.06;-0.08;0.047;0.479;0.853;0.529;0.752;-0.273;-0.278;0.02;0.044;-0.007;0.02;0.045;0.567;1.0;0.62;0.879;-0.046;-0.277;0.016;0.044;-0.007;0.016;0.045;0.364;0.76;0.429;0.689;-0.129;-0.279;-0.004;0.043;0.001;-0.005;0.043;0.258;0.64;0.315;0.583;-0.113;-0.307;-0.025;0.043;-0.009;-0.025;0.042;0.207;0.57;0.247;0.523;-0.074;-0.28;-0.037;0.043;-0.007;-0.036;0.042;0.172;0.527;0.188;0.481;-0.074;-0.288;-0.04;0.042;-0.007;-0.04;0.041;0.149;0.505;0.145;0.45;-0.049;-0.274;-0.037;0.042;-0.005;-0.036;0.041;0.132;0.472;0.116;0.428;0.426;0.081;-0.164;0.043;0.01;-0.164;0.048;0.121;0.458;0.091;0.413;0.085;0.106;-0.178;0.043;0.013;-0.177;0.049;0.112;0.447;0.075;0.402;0.353;0.34;-0.237;0.042;0.019;-0.234;0.045;-0.039
index__NumberOfTerms_7;0.032;-0.139;0.026;-0.098;-0.138;0.036;-0.253;-0.253;-0.139;0.026;-0.098;-0.138;0.036;-0.26;-0.31;-0.139;0.026;-0.098;-0.138;0.036;-0.124;-0.124;-0.1;0.026;-0.074;-0.1;0.036;0.153;-0.118;-0.096;0.026;-0.074;-0.095;0.036;0.377;0.505;0.796;0.635;0.023;-0.02;-0.09;0.026;-0.071;-0.089;0.036;0.393;0.54;0.852;0.679;-0.328;-0.328;0.034;0.026;-0.008;0.034;0.035;0.452;0.62;1.0;0.785;-0.053;-0.326;0.028;0.026;-0.008;0.029;0.034;0.253;0.403;0.761;0.582;-0.15;-0.328;0.005;0.026;0.001;0.005;0.033;0.145;0.278;0.629;0.463;-0.131;-0.36;-0.02;0.025;-0.011;-0.02;0.032;0.093;0.202;0.559;0.395;-0.086;-0.328;-0.033;0.025;-0.007;-0.033;0.031;0.054;0.144;0.504;0.343;-0.086;-0.337;-0.037;0.024;-0.008;-0.037;0.03;0.029;0.105;0.467;0.306;-0.057;-0.321;-0.031;0.025;-0.006;-0.031;0.03;0.012;0.075;0.441;0.28;0.515;0.107;-0.185;0.026;0.008;-0.184;0.04;-0.001;0.052;0.423;0.261;0.117;0.142;-0.203;0.026;0.01;-0.202;0.04;-0.009;0.037;0.411;0.248;0.4;0.394;-0.278;0.028;0.011;-0.275;0.04;-0.043
index__OfferedAmount_7;0.234;-0.124;0.051;-0.084;-0.123;0.05;-0.215;-0.215;-0.124;0.051;-0.084;-0.123;0.05;-0.222;-0.263;-0.124;0.051;-0.084;-0.123;0.05;-0.106;-0.106;-0.091;0.05;-0.064;-0.091;0.05;0.137;-0.1;-0.087;0.05;-0.064;-0.087;0.05;0.487;0.719;0.632;0.818;0.017;-0.019;-0.082;0.051;-0.06;-0.082;0.05;0.506;0.764;0.675;0.868;-0.279;-0.281;0.021;0.051;-0.005;0.021;0.049;0.583;0.879;0.785;1.0;-0.046;-0.279;0.017;0.051;-0.006;0.017;0.049;0.378;0.66;0.585;0.803;-0.126;-0.28;-0.003;0.05;0.002;-0.003;0.047;0.271;0.546;0.473;0.694;-0.112;-0.307;-0.024;0.05;-0.008;-0.024;0.047;0.22;0.478;0.411;0.635;-0.073;-0.279;-0.036;0.049;-0.005;-0.035;0.046;0.185;0.433;0.361;0.594;-0.073;-0.287;-0.039;0.049;-0.006;-0.039;0.045;0.162;0.409;0.327;0.564;-0.049;-0.273;-0.035;0.049;-0.004;-0.035;0.045;0.145;0.387;0.304;0.544;0.43;0.085;-0.161;0.049;0.009;-0.161;0.052;0.134;0.372;0.285;0.529;0.096;0.114;-0.176;0.05;0.01;-0.176;0.053;0.125;0.362;0.274;0.519;0.342;0.334;-0.23;0.049;0.012;-0.227;0.049;-0.039
index__timesincelastevent_7;0.016;-0.021;-0.003;-0.009;-0.021;-0.001;-0.027;-0.027;-0.021;-0.003;-0.009;-0.021;-0.001;-0.025;-0.031;-0.021;-0.003;-0.009;-0.021;-0.001;-0.017;-0.017;-0.015;-0.003;-0.005;-0.015;-0.001;0.0;-0.017;-0.015;-0.003;-0.005;-0.015;-0.001;-0.027;-0.042;-0.048;-0.041;0.199;0.183;-0.002;-0.003;0.013;-0.003;0.001;-0.028;-0.044;-0.051;-0.044;-0.047;0.032;0.017;-0.003;0.017;0.016;-0.0;-0.028;-0.046;-0.053;-0.046;1.0;0.324;-0.014;-0.002;-0.007;-0.013;0.005;-0.028;-0.017;-0.01;-0.009;-0.019;0.228;-0.017;-0.003;-0.005;-0.016;0.005;-0.031;-0.015;-0.006;-0.004;0.085;0.247;-0.012;-0.002;-0.01;-0.012;0.006;-0.031;0.0;0.02;0.014;-0.011;0.191;-0.013;-0.002;-0.009;-0.012;0.006;-0.033;0.001;0.02;0.013;0.019;0.187;-0.015;-0.002;-0.009;-0.015;0.006;-0.034;0.003;0.025;0.018;-0.003;0.167;-0.016;-0.002;-0.009;-0.015;0.006;-0.035;0.002;0.027;0.018;-0.039;0.116;-0.003;-0.002;-0.01;-0.002;0.006;-0.036;0.003;0.03;0.019;-0.011;0.105;-0.002;-0.002;-0.011;-0.001;0.006;-0.037;0.002;0.028;0.018;-0.028;0.022;-0.0;-0.002;-0.012;0.0;0.005;-0.015
