;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission IC;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_P;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;index__org:group_5_W;encoded_label
index__org:group_1_C;0.052;-0.015;0.043;-0.014;-0.044;0.021;-0.031;-0.058;-0.01;0.063;0.017;-0.016;0.242;0.065;-0.63;0.125;0.263;-0.63;0.132;0.219;-0.63;0.122;0.287;-0.63;0.116;0.258;-0.63;0.588;-0.588;0.612;-0.612;0.5;0.041;-0.63;0.141;0.148;-0.63;0.119;0.171;-0.63;0.13;0.231;-0.63;0.462;-0.024;-0.63;0.437;0.017;-0.63;0.555;-0.006;-0.63;0.121;0.289;-0.63;0.136;0.242;-0.63;0.519;0.014;-0.63;0.114;0.251;-0.63;0.426;0.068;-0.63;0.147;0.152;-0.63;0.081;0.281;-0.63;0.118;0.296;-0.63;-0.401;0.63;-0.209;-0.187;-0.326;-0.187;-0.521;-0.464;-0.248;1.0;-0.093;-0.434;-0.093;-0.377;0.133;-0.377;0.647;-0.637;-0.132;-0.045;-0.494;-0.187;0.364;-0.132;-0.519;-0.434;-0.014;0.129;0.122;-0.349;0.039;-0.083;-0.305;-0.521;-0.08;-0.052;0.306;0.162;0.031;0.051;-0.175;-0.168;-0.093;-0.116;-0.042;-0.07;0.298;0.024;0.33;-0.444;-0.187;-0.009;-0.697;-0.66;1.0;-0.093;0.464;-0.177;-0.637;0.057;-0.157;0.294;-0.434;0.023;-0.236;0.455;-0.521;0.02;0.014;-0.045;0.014;0.014;0.024;-0.172;0.154;-0.093;0.02;0.024;0.044;0.001;0.02;0.034;0.014;-0.186;0.024;-0.056;0.014;0.024;0.034;-0.056;0.02;0.014;0.02;0.02;0.02
index__org:group_1_L;-0.012;-0.017;-0.006;-0.011;-0.009;-0.009;-0.006;-0.004;-0.005;-0.006;-0.005;0.045;-0.05;0.057;-0.009;-0.014;0.017;-0.009;-0.017;0.02;-0.009;-0.013;0.016;-0.009;0.087;-0.072;-0.009;0.009;-0.009;0.009;-0.009;-0.12;0.215;-0.009;0.039;-0.035;-0.009;-0.031;0.034;-0.009;-0.016;0.019;-0.009;0.013;-0.009;-0.009;0.013;-0.009;-0.009;0.01;-0.005;-0.009;-0.012;0.016;-0.009;-0.015;0.018;-0.009;0.011;-0.006;-0.009;-0.016;0.019;-0.009;0.012;-0.008;-0.009;-0.026;0.029;-0.009;-0.015;0.019;-0.009;-0.012;0.016;-0.009;-0.006;0.009;-0.003;-0.003;-0.005;-0.003;-0.007;-0.006;0.376;-0.093;-0.001;-0.006;-0.001;-0.005;-0.012;-0.005;-0.065;0.147;-0.002;-0.003;-0.007;-0.003;-0.04;-0.002;-0.008;-0.006;0.193;-0.017;-0.011;-0.009;-0.004;0.085;-0.007;-0.007;-0.012;-0.005;-0.034;-0.016;-0.003;-0.009;-0.014;-0.013;-0.001;-0.004;-0.006;-0.015;0.037;-0.002;-0.123;-0.006;-0.003;0.165;-0.01;-0.009;-0.093;1.0;-0.064;-0.015;0.147;-0.007;-0.021;-0.055;-0.006;0.265;-0.015;0.018;-0.007;-0.002;-0.001;-0.003;-0.001;-0.001;-0.002;-0.016;0.02;-0.001;-0.002;-0.002;-0.004;-0.004;-0.002;-0.003;-0.001;-0.003;-0.002;-0.002;-0.001;-0.002;-0.003;-0.002;-0.002;-0.001;-0.002;-0.002;-0.002
index__org:group_2_A;-0.021;0.052;0.024;-0.044;-0.024;0.011;-0.017;-0.042;0.004;-0.022;-0.051;0.027;0.112;-0.027;-0.178;0.048;0.064;-0.178;0.057;0.045;-0.178;0.052;0.066;-0.178;0.038;0.068;-0.178;0.167;-0.167;0.171;-0.171;0.147;0.002;-0.178;0.036;0.046;-0.178;0.015;0.067;-0.178;0.057;0.047;-0.178;0.161;-0.047;-0.178;0.123;0.005;-0.178;0.175;-0.036;-0.178;0.031;0.085;-0.178;0.034;0.072;-0.178;0.162;-0.022;-0.178;0.022;0.08;-0.178;0.124;0.014;-0.178;0.083;0.003;-0.178;-0.038;0.134;-0.178;0.034;0.083;-0.178;0.027;0.178;-0.105;-0.001;-0.222;-0.127;-0.355;-0.264;-0.073;0.464;0.02;-0.258;-0.064;0.061;-0.612;0.061;0.812;-0.433;0.029;0.054;-0.336;-0.127;0.493;-0.031;-0.349;0.02;0.072;0.153;-0.561;-0.361;0.028;0.006;-0.106;-0.292;-0.005;-0.002;0.426;-0.369;0.008;0.021;0.009;-0.648;-0.064;-0.008;-0.09;0.004;0.437;0.035;0.315;-0.03;-0.001;-0.384;-0.365;-0.26;0.464;-0.064;1.0;-0.734;-0.433;-0.355;0.073;-0.002;0.02;-0.24;-0.015;0.192;-0.292;-0.031;0.02;-0.169;0.02;0.02;0.035;-0.59;0.523;-0.064;0.029;0.035;-0.015;0.058;0.029;0.05;-0.064;-0.156;-0.11;0.029;-0.064;0.035;0.016;0.029;-0.031;0.02;-0.031;0.029;0.029
index__org:group_2_B;0.043;-0.048;-0.005;0.052;-0.035;-0.033;0.02;0.017;0.031;0.024;0.036;-0.019;-0.061;0.099;-0.069;-0.008;0.048;-0.069;-0.007;0.044;-0.069;-0.016;0.056;-0.069;0.004;0.036;-0.069;0.062;-0.062;0.075;-0.075;0.059;-0.002;-0.069;0.06;-0.029;-0.069;0.058;-0.026;-0.069;-0.038;0.072;-0.069;0.008;0.054;-0.069;0.06;-0.014;-0.069;0.047;0.026;-0.069;-0.003;0.045;-0.069;-0.004;0.043;-0.069;0.044;0.024;-0.069;0.0;0.038;-0.069;0.021;0.044;-0.069;-0.061;0.091;-0.069;0.082;-0.034;-0.069;-0.009;0.051;-0.069;-0.04;0.069;-0.034;0.021;-0.052;-0.03;0.483;-0.074;-0.04;-0.177;-0.015;-0.069;0.087;-0.06;0.834;-0.06;-0.747;-0.102;-0.021;-0.04;0.457;0.173;-0.46;0.051;-0.089;-0.002;-0.077;-0.202;0.765;0.504;-0.006;-0.176;0.159;0.408;-0.137;-0.035;-0.382;0.518;0.012;-0.016;-0.159;0.884;0.087;0.012;0.136;-0.162;-0.405;-0.026;0.027;-0.049;0.021;-0.003;-0.112;0.368;-0.177;-0.015;-0.734;1.0;-0.102;-0.083;-0.234;0.24;-0.002;-0.056;-0.047;-0.151;0.408;0.051;-0.015;-0.001;-0.015;-0.015;-0.026;0.821;-0.733;0.087;-0.021;-0.026;0.049;-0.042;-0.021;-0.037;-0.015;0.171;-0.026;-0.021;0.087;-0.026;0.005;-0.021;0.051;-0.015;0.051;-0.021;-0.021
index__org:group_2_C;-0.045;0.041;-0.008;-0.011;0.114;-0.018;-0.041;0.071;-0.032;-0.04;-0.031;-0.013;-0.129;-0.094;0.452;-0.078;-0.199;0.452;-0.101;-0.151;0.452;-0.086;-0.208;0.452;-0.086;-0.183;0.452;-0.423;0.423;-0.452;0.452;-0.372;-0.007;0.452;-0.127;-0.08;0.452;-0.12;-0.089;0.452;-0.079;-0.179;0.452;-0.338;0.026;0.452;-0.329;0.008;0.452;-0.401;0.009;0.452;-0.085;-0.209;0.452;-0.1;-0.171;0.452;-0.376;-0.005;0.452;-0.091;-0.172;0.452;-0.302;-0.055;0.452;-0.094;-0.12;0.452;-0.075;-0.187;0.452;-0.083;-0.214;0.452;-0.001;-0.452;0.259;-0.018;0.511;0.294;-0.049;0.632;0.212;-0.637;-0.009;0.612;-0.009;-0.036;-0.085;-0.036;-0.441;1.0;-0.012;-0.023;-0.047;-0.018;-0.193;-0.012;0.819;-0.041;-0.015;-0.063;-0.078;-0.061;-0.025;0.206;-0.047;-0.049;0.181;0.082;-0.156;-0.11;-0.02;-0.063;0.19;-0.09;-0.009;0.018;-0.044;0.167;-0.139;-0.015;-0.052;0.126;-0.018;-0.027;0.893;-0.062;-0.637;0.147;-0.433;-0.102;1.0;-0.049;0.319;-0.29;-0.041;0.009;0.169;-0.111;-0.049;-0.012;-0.009;-0.023;-0.009;-0.009;-0.015;-0.091;0.125;-0.009;-0.012;-0.015;-0.028;-0.025;-0.012;-0.022;-0.009;-0.022;-0.015;-0.012;-0.009;-0.015;-0.022;-0.012;-0.012;-0.009;-0.012;-0.012;-0.012
index__org:group_2_L;0.022;-0.078;-0.034;0.015;-0.019;0.058;0.049;-0.023;-0.026;0.052;0.083;-0.01;0.018;-0.009;-0.019;0.002;0.009;-0.019;0.009;0.002;-0.019;0.016;-0.001;-0.019;0.012;0.001;-0.019;0.024;-0.024;0.023;-0.023;0.012;0.008;-0.019;-0.039;0.047;-0.019;0.004;0.005;-0.019;0.037;-0.022;-0.019;0.033;-0.026;-0.019;0.01;0.005;-0.019;0.005;0.023;-0.019;0.039;-0.02;-0.019;0.052;-0.034;-0.019;0.011;0.009;-0.019;0.06;-0.043;-0.019;0.046;-0.045;-0.019;0.039;-0.029;-0.019;0.024;-0.011;-0.019;0.042;-0.023;-0.019;0.013;0.019;-0.016;-0.014;-0.025;-0.014;-0.04;-0.036;-0.019;0.057;-0.007;-0.034;-0.007;0.018;-0.07;0.018;0.096;-0.049;-0.01;-0.019;-0.038;-0.014;-0.02;-0.01;-0.043;0.008;-0.0;0.107;-0.064;-0.05;-0.021;0.064;-0.002;-0.04;0.046;-0.029;-0.058;0.0;-0.016;0.059;0.043;-0.074;-0.007;-0.024;0.003;0.088;-0.062;-0.013;-0.687;0.006;-0.014;0.89;-0.054;-0.023;0.057;-0.007;-0.355;-0.083;-0.049;1.0;-0.117;-0.088;0.008;0.626;-0.083;-0.015;-0.04;-0.01;-0.007;0.405;-0.007;-0.007;-0.013;-0.087;0.034;-0.007;-0.01;-0.013;-0.023;-0.021;-0.01;-0.018;0.179;0.059;0.311;-0.01;-0.007;-0.013;-0.018;-0.01;-0.01;-0.007;-0.01;-0.01;-0.01
index__org:group_3_A;0.032;0.021;-0.046;-0.019;0.031;-0.017;-0.042;0.012;0.109;0.036;-0.025;-0.039;-0.056;-0.021;0.157;-0.171;0.055;0.157;-0.19;0.088;0.157;-0.184;0.057;0.157;-0.207;0.093;0.157;-0.134;0.134;-0.163;0.163;-0.106;-0.042;0.157;-0.171;0.098;0.157;-0.155;0.081;0.157;-0.171;0.067;0.157;-0.086;-0.032;0.157;-0.113;0.001;0.157;-0.12;-0.034;0.157;-0.183;0.056;0.157;-0.221;0.104;0.157;-0.12;-0.02;0.157;-0.154;0.049;0.157;-0.115;-0.005;0.157;-0.137;0.059;0.157;-0.169;0.062;0.157;-0.188;0.058;0.157;-0.05;-0.157;0.064;0.041;0.216;0.124;-0.117;0.256;0.039;-0.157;0.062;0.214;0.062;-0.085;-0.202;-0.085;0.037;0.319;-0.03;0.07;-0.111;-0.001;-0.644;0.087;0.368;-0.097;0.287;0.744;-0.185;-0.145;-0.06;0.629;-0.111;-0.04;0.517;0.208;-0.556;-0.26;-0.01;-0.15;0.56;-0.205;-0.021;-0.045;-0.104;0.592;-0.532;-0.036;0.082;0.008;0.041;-0.127;0.342;-0.136;-0.157;-0.021;0.073;-0.234;0.319;-0.117;1.0;-0.89;-0.097;-0.079;0.478;-0.368;-0.04;-0.03;-0.021;-0.056;-0.021;-0.021;-0.036;-0.236;0.305;-0.021;-0.03;-0.036;-0.067;-0.06;-0.03;-0.051;-0.021;-0.051;-0.036;-0.03;-0.021;-0.036;-0.051;-0.03;-0.03;-0.021;-0.03;0.029;0.029
index__org:group_3_B;-0.025;0.021;0.061;0.027;-0.018;0.008;-0.012;-0.0;-0.09;-0.036;0.036;-0.003;0.11;0.047;-0.321;0.185;0.03;-0.321;0.206;-0.014;-0.321;0.201;0.03;-0.321;0.215;-0.005;-0.321;0.288;-0.288;0.318;-0.318;0.244;0.04;-0.321;0.205;-0.058;-0.321;0.183;-0.033;-0.321;0.193;0.005;-0.321;0.192;0.046;-0.321;0.229;0.001;-0.321;0.258;0.046;-0.321;0.199;0.032;-0.321;0.236;-0.022;-0.321;0.249;0.035;-0.321;0.167;0.031;-0.321;0.232;0.014;-0.321;0.149;0.006;-0.321;0.181;0.02;-0.321;0.204;0.032;-0.321;-0.236;0.321;-0.053;-0.032;-0.192;-0.11;0.088;-0.225;-0.116;0.294;-0.055;-0.186;-0.055;-0.222;0.227;-0.222;0.054;-0.29;-0.078;-0.057;0.124;-0.11;0.724;-0.078;-0.328;-0.255;-0.285;-0.743;0.208;0.163;0.067;-0.648;-0.152;0.058;-0.504;-0.182;0.624;0.293;0.018;0.133;-0.585;0.232;0.024;-0.041;0.036;-0.616;0.598;0.041;0.227;-0.261;-0.032;-0.075;-0.32;-0.07;0.294;-0.055;-0.002;0.24;-0.29;-0.088;-0.89;1.0;-0.255;-0.207;-0.541;0.466;0.058;0.033;0.024;-0.146;0.024;0.024;0.041;0.213;-0.267;0.024;0.033;0.041;0.075;0.039;0.033;0.058;0.024;-0.006;0.041;-0.022;0.024;0.041;0.058;-0.022;0.033;0.024;0.033;-0.022;-0.022
index__org:group_3_C;-0.056;-0.059;-0.029;-0.02;-0.04;-0.011;0.07;-0.019;-0.022;-0.027;-0.021;0.127;-0.198;-0.053;0.515;-0.041;-0.269;0.515;-0.058;-0.224;0.515;-0.058;-0.27;0.515;-0.047;-0.253;0.515;-0.485;0.485;-0.49;0.49;-0.412;-0.028;0.515;-0.091;-0.145;0.515;-0.062;-0.175;0.515;-0.074;-0.218;0.515;-0.354;-0.012;0.515;-0.361;-0.009;0.515;-0.44;-0.023;0.515;-0.058;-0.271;0.515;-0.068;-0.235;0.515;-0.416;-0.027;0.515;-0.072;-0.224;0.515;-0.387;-0.0;0.515;-0.103;-0.141;0.515;-0.028;-0.264;0.515;-0.057;-0.275;0.515;0.818;-0.515;-0.013;-0.012;-0.021;-0.012;0.09;-0.03;0.152;-0.434;-0.006;-0.028;-0.006;0.87;-0.058;0.87;-0.3;-0.041;0.305;-0.016;-0.032;0.321;-0.185;-0.008;-0.036;1.0;-0.031;-0.081;-0.053;-0.041;-0.017;-0.004;0.748;-0.034;-0.055;-0.024;-0.159;-0.075;-0.013;0.056;0.055;-0.061;-0.006;0.249;0.2;0.021;-0.163;-0.01;-0.453;0.737;-0.012;0.002;0.019;0.59;-0.434;-0.006;0.02;-0.002;-0.041;0.008;-0.097;-0.255;1.0;-0.023;0.293;-0.271;-0.034;-0.008;-0.006;0.152;-0.006;-0.006;-0.01;0.081;-0.13;-0.006;-0.008;-0.01;-0.019;0.062;-0.008;-0.015;-0.006;0.167;-0.01;0.148;-0.006;-0.01;-0.015;0.148;-0.008;-0.006;-0.008;-0.008;-0.008
index__org:group_3_L;0.051;-0.065;-0.023;-0.004;0.01;0.044;0.097;-0.016;-0.018;0.039;-0.017;-0.029;0.037;-0.022;-0.033;-0.052;0.065;-0.033;-0.039;0.053;-0.033;-0.047;0.06;-0.033;-0.029;0.044;-0.033;0.035;-0.035;0.035;-0.035;0.006;0.037;-0.033;-0.048;0.063;-0.033;-0.057;0.072;-0.033;-0.034;0.049;-0.033;0.05;-0.036;-0.033;0.019;0.006;-0.033;0.038;-0.018;-0.033;-0.047;0.06;-0.033;-0.028;0.043;-0.033;0.04;-0.022;-0.033;-0.005;0.023;-0.033;0.046;-0.03;-0.033;0.045;-0.029;-0.033;-0.058;0.07;-0.033;-0.046;0.059;-0.033;-0.021;0.033;-0.011;-0.01;-0.017;-0.01;-0.027;-0.024;0.089;0.023;-0.005;-0.023;-0.005;-0.02;-0.047;-0.02;0.053;0.009;-0.007;-0.013;-0.026;-0.01;-0.15;-0.007;-0.029;-0.023;0.082;0.23;-0.043;-0.034;-0.014;0.185;-0.026;-0.027;0.118;-0.02;-0.13;-0.061;-0.011;-0.035;0.093;-0.05;-0.005;-0.016;-0.024;0.164;-0.113;-0.008;-0.464;-0.023;-0.01;0.624;-0.036;-0.035;0.023;0.265;-0.24;-0.056;0.009;0.626;-0.079;-0.207;-0.023;1.0;-0.056;-0.052;-0.027;-0.007;-0.005;0.499;-0.005;-0.005;-0.008;-0.059;0.076;-0.005;-0.007;-0.008;-0.016;-0.014;-0.007;-0.012;-0.005;-0.012;-0.008;-0.007;-0.005;-0.008;-0.012;-0.007;-0.007;-0.005;-0.007;-0.007;-0.007
index__org:group_4_A;-0.003;-0.063;-0.048;0.041;-0.034;-0.016;-0.023;0.018;0.032;0.002;0.067;0.047;-0.144;-0.001;0.301;-0.027;-0.154;0.301;-0.089;-0.081;0.301;-0.073;-0.125;0.301;-0.066;-0.114;0.301;-0.275;0.275;-0.28;0.28;-0.237;-0.023;0.301;-0.109;-0.029;0.301;-0.084;-0.055;0.301;-0.084;-0.091;0.301;-0.209;-0.004;0.301;-0.217;0.003;0.301;-0.25;-0.028;0.301;-0.095;-0.107;0.301;-0.116;-0.071;0.301;-0.24;-0.021;0.301;-0.107;-0.073;0.301;-0.222;-0.006;0.301;-0.118;-0.027;0.301;-0.035;-0.137;0.301;-0.091;-0.113;0.301;0.302;-0.301;0.059;0.073;0.067;0.073;-0.026;0.159;-0.001;-0.236;-0.015;0.09;-0.015;0.302;-0.036;0.302;-0.143;0.169;-0.021;-0.039;-0.058;0.073;-0.448;-0.021;0.163;0.293;0.148;0.36;-0.131;0.055;-0.042;-0.174;0.422;-0.083;0.741;0.353;-0.393;-0.184;0.013;0.001;0.821;-0.151;0.087;0.075;0.096;-0.149;-0.401;-0.026;-0.139;0.305;0.073;-0.09;0.168;0.157;-0.236;-0.015;-0.015;-0.047;0.169;-0.083;0.478;-0.541;0.293;-0.056;1.0;-0.812;-0.083;-0.021;-0.015;-0.039;-0.015;-0.015;-0.026;-0.057;0.05;0.087;-0.021;-0.026;-0.015;-0.006;-0.021;-0.036;-0.015;-0.036;-0.026;0.051;-0.015;-0.026;0.006;0.051;0.051;-0.015;0.051;0.051;-0.021
index__org:group_4_B;0.01;0.059;0.067;-0.039;0.051;0.026;-0.054;-0.027;-0.059;0.022;-0.066;-0.042;0.128;0.002;-0.269;-0.006;0.164;-0.269;0.04;0.109;-0.269;0.012;0.156;-0.269;0.019;0.137;-0.269;0.242;-0.242;0.247;-0.247;0.197;0.045;-0.269;0.071;0.052;-0.269;0.044;0.08;-0.269;0.036;0.117;-0.269;0.187;0.003;-0.269;0.186;0.008;-0.269;0.225;0.021;-0.269;0.041;0.133;-0.269;0.061;0.101;-0.269;0.213;0.022;-0.269;0.026;0.128;-0.269;0.176;0.038;-0.269;0.087;0.041;-0.269;-0.02;0.169;-0.269;0.035;0.139;-0.269;-0.283;0.269;-0.079;-0.053;-0.04;-0.053;-0.38;-0.113;-0.019;0.455;-0.071;-0.093;-0.071;-0.264;0.072;-0.264;0.276;-0.111;0.026;-0.019;-0.358;-0.142;0.547;-0.101;-0.11;-0.271;-0.155;-0.284;0.161;-0.449;-0.202;0.215;-0.375;-0.396;-0.652;-0.287;0.483;0.226;0.001;0.024;-0.756;-0.081;-0.071;-0.075;-0.076;0.191;0.474;-0.123;0.221;-0.28;-0.053;-0.044;-0.159;-0.475;0.455;0.018;0.192;-0.151;-0.111;-0.015;-0.368;0.466;-0.271;-0.052;-0.812;1.0;-0.396;-0.101;-0.071;-0.189;-0.071;-0.071;-0.123;-0.098;0.122;-0.071;0.026;-0.123;0.03;0.02;0.026;0.045;0.018;-0.138;0.032;-0.037;0.018;0.032;-0.028;-0.037;-0.037;0.018;-0.037;-0.037;0.026
index__org:group_4_C;-0.001;0.042;-0.034;0.039;-0.048;0.003;0.049;0.036;0.026;-0.033;-0.025;-0.037;-0.053;0.05;0.01;-0.077;0.061;0.01;-0.043;0.034;0.01;-0.049;0.035;0.01;-0.045;0.034;0.01;-0.004;0.004;-0.005;0.005;0.012;-0.034;0.01;0.002;-0.006;0.01;0.004;-0.009;0.01;-0.053;0.042;0.01;-0.029;0.029;0.01;0.01;-0.023;0.01;-0.02;0.023;0.01;-0.048;0.034;0.01;-0.044;0.033;0.01;-0.014;0.009;0.01;-0.013;0.006;0.01;0.024;-0.045;0.01;-0.032;0.026;0.01;-0.013;0.006;0.01;-0.046;0.032;0.01;0.013;-0.01;0.067;-0.014;-0.025;-0.014;0.827;-0.036;0.052;-0.521;0.179;0.049;0.179;-0.029;-0.07;-0.029;-0.329;-0.049;-0.01;0.122;0.874;0.079;-0.222;0.253;-0.043;-0.034;0.074;-0.098;-0.064;0.665;-0.021;-0.085;-0.038;1.0;-0.066;-0.029;-0.192;-0.09;-0.016;-0.052;0.003;0.464;-0.007;-0.024;-0.036;-0.083;-0.196;-0.013;-0.041;0.006;-0.014;0.053;0.053;0.678;-0.521;-0.007;-0.292;0.408;-0.049;-0.04;-0.04;0.058;-0.034;-0.027;-0.083;-0.396;1.0;-0.01;-0.007;-0.019;-0.007;-0.007;-0.013;0.336;-0.296;-0.007;-0.01;-0.013;-0.023;-0.021;-0.01;-0.018;-0.007;0.211;-0.013;-0.01;-0.007;-0.013;-0.018;-0.01;-0.01;-0.007;-0.01;-0.01;-0.01
index__org:group_4_F;-0.017;-0.024;-0.009;-0.015;-0.012;-0.013;-0.008;-0.006;0.191;-0.008;0.2;-0.041;0.037;-0.032;-0.012;0.132;-0.107;-0.012;0.108;-0.091;-0.012;0.146;-0.115;-0.012;0.123;-0.101;-0.012;0.013;-0.013;0.013;-0.013;0.015;-0.008;-0.012;0.055;-0.049;-0.012;0.06;-0.053;-0.012;0.114;-0.096;-0.012;0.019;-0.013;-0.012;0.018;-0.013;-0.012;0.014;-0.007;-0.012;0.065;-0.046;-0.012;0.124;-0.102;-0.012;0.015;-0.008;-0.012;0.118;-0.098;-0.012;0.017;-0.011;-0.012;0.071;-0.063;-0.012;0.118;-0.098;-0.012;0.066;-0.047;-0.012;-0.008;0.012;-0.004;-0.004;-0.006;-0.004;-0.01;-0.009;-0.005;0.02;-0.002;-0.008;-0.002;-0.007;0.065;-0.007;-0.032;-0.012;-0.003;-0.005;-0.01;-0.004;-0.005;-0.003;-0.011;-0.008;-0.009;-0.025;-0.016;0.096;0.498;-0.022;-0.01;-0.01;-0.017;-0.007;-0.049;-0.023;-0.004;0.092;-0.019;0.06;-0.002;-0.006;-0.009;-0.021;-0.05;-0.003;0.015;-0.009;-0.004;-0.011;-0.014;-0.013;0.02;-0.002;-0.031;0.051;-0.012;-0.01;-0.03;0.033;-0.008;-0.007;-0.021;-0.101;-0.01;1.0;-0.002;-0.005;-0.002;-0.002;-0.003;0.048;-0.091;-0.002;-0.003;-0.003;-0.006;-0.005;-0.003;-0.004;-0.002;-0.004;-0.003;-0.003;-0.002;-0.003;0.286;-0.003;-0.003;-0.002;-0.003;-0.003;-0.003
